Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning,Long_Description
AGE3,RECODE - FINAL EDITED AGE,,1,Respondent is 12 or 13 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,2,Respondent is 14 or 15 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,3,Respondent is 16 or 17 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,4,Respondent is between 18 and 20 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,5,Respondent is between 21 and 23 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,6,Respondent is 24 or 25 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,7,Respondent is between 26 and 29 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,8,Respondent is between 30 and 34 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,9,Respondent is between 35 and 49 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,10,Respondent is between 50 and 64 years old,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
AGE3,RECODE - FINAL EDITED AGE,,11,Respondent is 65 years old or older,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),1,One time,How many times have you been married?
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),2,Two or more times,How many times have you been married?
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),94,DON'T KNOW,How many times have you been married?
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),97,REFUSED,How many times have you been married?
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),99,LEGITIMATE SKIP,How many times have you been married?
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),1,Yes,Have you ever been in the United States Armed Forces?
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),2,No,Have you ever been in the United States Armed Forces?
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),85,BAD DATA Logically assigned,Have you ever been in the United States Armed Forces?
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),94,DON'T KNOW,Have you ever been in the United States Armed Forces?
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),97,REFUSED,Have you ever been in the United States Armed Forces?
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),99,LEGITIMATE SKIP,Have you ever been in the United States Armed Forces?
MILSTAT,CURRENT MILITARY STATUS,(QD10),2,In a reserves component,"Are you currently on active duty in the United States Armed Forces, are you in a Reserve component, or are you now separated or retired from the military?"
MILSTAT,CURRENT MILITARY STATUS,(QD10),3,Now separated/retired from reserves/active duty,"Are you currently on active duty in the United States Armed Forces, are you in a Reserve component, or are you now separated or retired from the military?"
MILSTAT,CURRENT MILITARY STATUS,(QD10),85,BAD DATA Logically assigned,"Are you currently on active duty in the United States Armed Forces, are you in a Reserve component, or are you now separated or retired from the military?"
MILSTAT,CURRENT MILITARY STATUS,(QD10),94,DON'T KNOW,"Are you currently on active duty in the United States Armed Forces, are you in a Reserve component, or are you now separated or retired from the military?"
MILSTAT,CURRENT MILITARY STATUS,(QD10),97,REFUSED,"Are you currently on active duty in the United States Armed Forces, are you in a Reserve component, or are you now separated or retired from the military?"
MILSTAT,CURRENT MILITARY STATUS,(QD10),99,LEGITIMATE SKIP,"Are you currently on active duty in the United States Armed Forces, are you in a Reserve component, or are you now separated or retired from the military?"
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),1,Yes,"Have you ever served on active duty in the United States Armed Forces or Reserve components? Active duty does not include training for the Reserves or National Guard, but does include activation, for example, for a national emergency or military conflict."
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),2,No,"Have you ever served on active duty in the United States Armed Forces or Reserve components? Active duty does not include training for the Reserves or National Guard, but does include activation, for example, for a national emergency or military conflict."
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),85,BAD DATA Logically assigned,"Have you ever served on active duty in the United States Armed Forces or Reserve components? Active duty does not include training for the Reserves or National Guard, but does include activation, for example, for a national emergency or military conflict."
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),94,DON'T KNOW,"Have you ever served on active duty in the United States Armed Forces or Reserve components? Active duty does not include training for the Reserves or National Guard, but does include activation, for example, for a national emergency or military conflict."
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),97,REFUSED,"Have you ever served on active duty in the United States Armed Forces or Reserve components? Active duty does not include training for the Reserves or National Guard, but does include activation, for example, for a national emergency or military conflict."
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),99,LEGITIMATE SKIP,"Have you ever served on active duty in the United States Armed Forces or Reserve components? Active duty does not include training for the Reserves or National Guard, but does include activation, for example, for a national emergency or military conflict."
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),1,Yes,When did you serve on active duty in the United States Armed Forces or Reserve components? Just give me the number or numbers from the card.
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),2,No (not entered),When did you serve on active duty in the United States Armed Forces or Reserve components? Just give me the number or numbers from the card.
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),85,BAD DATA Logically assigned,When did you serve on active duty in the United States Armed Forces or Reserve components? Just give me the number or numbers from the card.
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),97,REFUSED,When did you serve on active duty in the United States Armed Forces or Reserve components? Just give me the number or numbers from the card.
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),98,BLANK (NO ANSWER),When did you serve on active duty in the United States Armed Forces or Reserve components? Just give me the number or numbers from the card.
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),99,LEGITIMATE SKIP,When did you serve on active duty in the United States Armed Forces or Reserve components? Just give me the number or numbers from the card.
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),1,Yes,
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),2,No (not entered),
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),85,BAD DATA Logically assigned,
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),97,REFUSED,
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),98,BLANK (NO ANSWER),
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),99,LEGITIMATE SKIP,
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),1,Yes,
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),2,No (not entered),
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),85,BAD DATA Logically assigned,
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),97,REFUSED,
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),98,BLANK (NO ANSWER),
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),99,LEGITIMATE SKIP,
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),1,Yes,
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),2,No (not entered),
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),85,BAD DATA Logically assigned,
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),97,REFUSED,
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),98,BLANK (NO ANSWER),
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),99,LEGITIMATE SKIP,
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",1,Yes,
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",2,No (not entered),
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",85,BAD DATA Logically assigned,
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",97,REFUSED,
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",98,BLANK (NO ANSWER),
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",99,LEGITIMATE SKIP,
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),1,YES,Did you ever serve on active duty in the United States Armed Forces or Reserve components in a military combat zone or an area where you drew imminent danger pay or hostile fire pay?
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),2,NO,Did you ever serve on active duty in the United States Armed Forces or Reserve components in a military combat zone or an area where you drew imminent danger pay or hostile fire pay?
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),85,BAD DATA Logically assigned,Did you ever serve on active duty in the United States Armed Forces or Reserve components in a military combat zone or an area where you drew imminent danger pay or hostile fire pay?
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),94,DON'T KNOW,Did you ever serve on active duty in the United States Armed Forces or Reserve components in a military combat zone or an area where you drew imminent danger pay or hostile fire pay?
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),97,REFUSED,Did you ever serve on active duty in the United States Armed Forces or Reserve components in a military combat zone or an area where you drew imminent danger pay or hostile fire pay?
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),98,BLANK (NO ANSWER),Did you ever serve on active duty in the United States Armed Forces or Reserve components in a military combat zone or an area where you drew imminent danger pay or hostile fire pay?
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),99,LEGITIMATE SKIP,Did you ever serve on active duty in the United States Armed Forces or Reserve components in a military combat zone or an area where you drew imminent danger pay or hostile fire pay?
HEALTH,OVERALL HEALTH,(QD12),1,Excellent,"This question is about your overall health. Would you say your health in general is excellent, very good, good, fair, or poor?"
HEALTH,OVERALL HEALTH,(QD12),2,Very good,"This question is about your overall health. Would you say your health in general is excellent, very good, good, fair, or poor?"
HEALTH,OVERALL HEALTH,(QD12),3,Good,"This question is about your overall health. Would you say your health in general is excellent, very good, good, fair, or poor?"
HEALTH,OVERALL HEALTH,(QD12),4,Fair,"This question is about your overall health. Would you say your health in general is excellent, very good, good, fair, or poor?"
HEALTH,OVERALL HEALTH,(QD12),5,Poor,"This question is about your overall health. Would you say your health in general is excellent, very good, good, fair, or poor?"
HEALTH,OVERALL HEALTH,(QD12),94,DON'T KNOW,"This question is about your overall health. Would you say your health in general is excellent, very good, good, fair, or poor?"
HEALTH,OVERALL HEALTH,(QD12),97,REFUSED,"This question is about your overall health. Would you say your health in general is excellent, very good, good, fair, or poor?"
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),0,0 times,How many times in the past 12 months have you moved? Please include moves from one residence to another within the same city/town as well as those from one city/town to another.
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),1,One time,How many times in the past 12 months have you moved? Please include moves from one residence to another within the same city/town as well as those from one city/town to another.
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),2,Two times,How many times in the past 12 months have you moved? Please include moves from one residence to another within the same city/town as well as those from one city/town to another.
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),3,Three or more times,How many times in the past 12 months have you moved? Please include moves from one residence to another within the same city/town as well as those from one city/town to another.
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),985,BAD DATA Logically assigned,How many times in the past 12 months have you moved? Please include moves from one residence to another within the same city/town as well as those from one city/town to another.
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),994,DON'T KNOW,How many times in the past 12 months have you moved? Please include moves from one residence to another within the same city/town as well as those from one city/town to another.
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),997,REFUSED,How many times in the past 12 months have you moved? Please include moves from one residence to another within the same city/town as well as those from one city/town to another.
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),998,BLANK (NO ANSWER),How many times in the past 12 months have you moved? Please include moves from one residence to another within the same city/town as well as those from one city/town to another.
SEXATRACT,SEXUAL ATTRACTION,(QD62),1,I am only attracted to opposite sex,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),2,I am mostly attracted to opposite sex,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),3,I am equally attracted to males and females,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),4,I am mostly attracted to same sex,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),5,I am only attracted to same sex,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),6,I am not sure,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),85,BAD DATA Logically assigned,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),94,DON'T KNOW,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),97,REFUSED,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),98,BLANK (NO ANSWER),People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXATRACT,SEXUAL ATTRACTION,(QD62),99,LEGITIMATE SKIP,People are different in their sexual attraction to other people. Which statement best describes your feelings?
SEXIDENT,SEXUAL IDENTITY,(QD63),1,"Heterosexual, that is, straight",Which one of the following do you consider yourself to be?
SEXIDENT,SEXUAL IDENTITY,(QD63),2,Lesbian or Gay,Which one of the following do you consider yourself to be?
SEXIDENT,SEXUAL IDENTITY,(QD63),3,Bisexual,Which one of the following do you consider yourself to be?
SEXIDENT,SEXUAL IDENTITY,(QD63),85,BAD DATA Logically assigned,Which one of the following do you consider yourself to be?
SEXIDENT,SEXUAL IDENTITY,(QD63),94,DON'T KNOW,Which one of the following do you consider yourself to be?
SEXIDENT,SEXUAL IDENTITY,(QD63),97,REFUSED,Which one of the following do you consider yourself to be?
SEXIDENT,SEXUAL IDENTITY,(QD63),98,BLANK (NO ANSWER),Which one of the following do you consider yourself to be?
SEXIDENT,SEXUAL IDENTITY,(QD63),99,LEGITIMATE SKIP,Which one of the following do you consider yourself to be?
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),1,Very well,How well do you speak English?
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),2,Well,How well do you speak English?
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),3,Not well,How well do you speak English?
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),4,Not at all,How well do you speak English?
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),85,BAD DATA Logically assigned,How well do you speak English?
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),94,DON'T KNOW,How well do you speak English?
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),97,REFUSED,How well do you speak English?
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),98,BLANK (NO ANSWER),How well do you speak English?
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,(SEE),1,No Difficulty,"Do you have difficulty seeing, even when wearing glasses or contact lenses?"
