Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",12,Used >30 days ago but within pst 12 mos LOG ASSN
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",91,NEVER USED COCAINE
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",97,REFUSED
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",98,BLANK (NO ANSWER)
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,(TOTCOKE),,
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,(TOTCOKE),RANGE,1 - 365
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,(TOTCOKE),985,BAD DATA Logically assigned
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,(TOTCOKE),991,NEVER USED COCAINE
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,(TOTCOKE),993,DID NOT USE COCAINE IN THE PAST 12 MOS
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,(TOTCOKE),994,DON'T KNOW
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,(TOTCOKE),997,REFUSED
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,(TOTCOKE),998,BLANK (NO ANSWER)
CCTOTFG,TRIMMING INDICATOR FOR COCYRTOT,(TOTCOKE),,
CCTOTFG,TRIMMING INDICATOR FOR COCYRTOT,(TOTCOKE),1,Trimmed to 365 days (no further editing)
CCTOTFG,TRIMMING INDICATOR FOR COCYRTOT,(TOTCOKE),2,Trimmed relative to the 30-day freq
CCTOTFG,TRIMMING INDICATOR FOR COCYRTOT,(TOTCOKE),98,BLANK (NO ANSWER)
CCFQFLG,TRIMMED COCYRTOT IF R USED < 12 MOS,(TOTCOKE),,
CCFQFLG,TRIMMED COCYRTOT IF R USED < 12 MOS,(TOTCOKE),1,Trimmed to be consistent with mo/yr of 1st use
CCFQFLG,TRIMMED COCYRTOT IF R USED < 12 MOS,(TOTCOKE),98,BLANK (NO ANSWER)
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),,
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),1,Prefer to answer in days per week
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),2,Prefer to answer in days per month
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),3,Prefer to answer in days per year
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),12,Prefer to ans in days per mo LOG ASSN
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),13,Prefer to ans in days per yr LOG ASSN
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),21,Prefer to ans in days per wk (CRBSTWAY
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),22,Prefer to ans in days per mo (CRBSTWAY
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),23,Prefer to ans in days per yr (CRBSTWAY
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),85,BAD DATA Logically assigned
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),91,NEVER USED COCAINE
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),93,DID NOT USE COCAINE IN THE PAST 12 MOS
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),94,DON'T KNOW
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),97,REFUSED
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,(CCFRAME3),98,BLANK (NO ANSWER)
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),,
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),RANGE,1 - 365
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),985,BAD DATA Logically assigned
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),989,LEGITIMATE SKIP Logically assigned
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),991,NEVER USED COCAINE
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),993,DID NOT USE COCAINE IN THE PAST 12 MOS
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),994,DON'T KNOW
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),997,REFUSED
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),998,BLANK (NO ANSWER)
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,(CCYRAVE),999,LEGITIMATE SKIP
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),,
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),RANGE,1 - 31
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),85,BAD DATA Logically assigned
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),89,LEGITIMATE SKIP Logically assigned
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),91,NEVER USED COCAINE
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),93,DID NOT USE COCAINE IN THE PAST 12 MOS
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),94,DON'T KNOW
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),97,REFUSED
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),98,BLANK (NO ANSWER)
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,(CCMONAVE),99,LEGITIMATE SKIP
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),,
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),RANGE,1 - 7
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),85,BAD DATA Logically assigned
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),89,LEGITIMATE SKIP Logically assigned
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),91,NEVER USED COCAINE
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),93,DID NOT USE COCAINE IN THE PAST 12 MOS
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),94,DON'T KNOW
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),97,REFUSED
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),98,BLANK (NO ANSWER)
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,(CCWKAVE),99,LEGITIMATE SKIP
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,(CC06),,
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,(CC06),RANGE,1 - 30
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,(CC06),85,BAD DATA Logically assigned
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,(CC06),91,NEVER USED COCAINE
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,(CC06),93,DID NOT USE COCAINE IN THE PAST 30 DAYS
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,(CC06),94,DON'T KNOW
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,(CC06),97,REFUSED
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,(CC06),98,BLANK (NO ANSWER)
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,(CC06DKRE),,
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,(CC06DKRE),4,10 to 19 days
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,(CC06DKRE),91,NEVER USED COCAINE
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,(CC06DKRE),93,DID NOT USE COCAINE IN THE PAST 30 DAYS
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,(CC06DKRE),94,DON'T KNOW
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,(CC06DKRE),97,REFUSED
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,(CC06DKRE),98,BLANK (NO ANSWER)
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,(CC06DKRE),99,LEGITIMATE SKIP
CRKEVER,EVER USED CRACK,"(CK01, CKREF)",,
CRKEVER,EVER USED CRACK,"(CK01, CKREF)",1,Yes
CRKEVER,EVER USED CRACK,"(CK01, CKREF)",2,No
CRKEVER,EVER USED CRACK,"(CK01, CKREF)",91,NEVER USED COCAINE (COCEVER
CRKEVER,EVER USED CRACK,"(CK01, CKREF)",94,DON'T KNOW
CRKEVER,EVER USED CRACK,"(CK01, CKREF)",97,REFUSED
CRKEVER,EVER USED CRACK,"(CK01, CKREF)",98,BLANK (NO ANSWER)
CRKAGE,AGE WHEN FIRST USED CRACK,(CK02),,
CRKAGE,AGE WHEN FIRST USED CRACK,(CK02),RANGE,1 - 68
CRKAGE,AGE WHEN FIRST USED CRACK,(CK02),985,BAD DATA Logically assigned
CRKAGE,AGE WHEN FIRST USED CRACK,(CK02),991,NEVER USED CRACK
CRKAGE,AGE WHEN FIRST USED CRACK,(CK02),994,DON'T KNOW
CRKAGE,AGE WHEN FIRST USED CRACK,(CK02),997,REFUSED
CRKAGE,AGE WHEN FIRST USED CRACK,(CK02),998,BLANK (NO ANSWER)
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",,
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",RANGE,2020 - 2022
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",9985,BAD DATA Logically assigned
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",9989,LEGITIMATE SKIP Logically assigned
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",9991,NEVER USED CRACK
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",9994,DON'T KNOW
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",9997,REFUSED
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",9998,BLANK (NO ANSWER)
CRKYFU,YEAR OF FIRST CRACK USE - RECODE,"(CK03A, CK03B, CK03C)",9999,LEGITIMATE SKIP
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",,
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",2,February
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",3,March
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",4,April
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",5,May
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",6,June
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",8,August
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",9,September
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",10,October
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",11,November
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",12,December
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",85,BAD DATA Logically assigned
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",89,LEGITIMATE SKIP Logically assigned
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",91,NEVER USED CRACK
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",94,DON'T KNOW
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",97,REFUSED
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",98,BLANK (NO ANSWER)
CRKMFU,MONTH OF FIRST CRACK USE - RECODE,"(CK03C, CK03D)",99,LEGITIMATE SKIP
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",,
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",1,Within the past 30 days
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",2,More than 30 days ago but within the past 12 mos
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",3,More than 12 months ago
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",8,Used at some point in the past 12 mos LOG ASSN
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",9,Used at some point in the lifetime LOG ASSN
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",91,NEVER USED CRACK
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",97,REFUSED
CRAKREC,TIME SINCE LAST USED CRACK,"(CKLAST3, CKRECDK, CKRECRE)",98,BLANK (NO ANSWER)
CRKYRTOT,TOTAL # DAYS USED CRACK IN PAST 12 MONTHS,(TOTCRACK),,
CRKYRTOT,TOTAL # DAYS USED CRACK IN PAST 12 MONTHS,(TOTCRACK),RANGE,1 - 365
CRKYRTOT,TOTAL # DAYS USED CRACK IN PAST 12 MONTHS,(TOTCRACK),991,NEVER USED CRACK
CRKYRTOT,TOTAL # DAYS USED CRACK IN PAST 12 MONTHS,(TOTCRACK),993,DID NOT USE CRACK IN THE PAST 12 MOS
CRKYRTOT,TOTAL # DAYS USED CRACK IN PAST 12 MONTHS,(TOTCRACK),994,DON'T KNOW
CRKYRTOT,TOTAL # DAYS USED CRACK IN PAST 12 MONTHS,(TOTCRACK),997,REFUSED
CRKYRTOT,TOTAL # DAYS USED CRACK IN PAST 12 MONTHS,(TOTCRACK),998,BLANK (NO ANSWER)
CRTOTFG,TRIMMING INDICATOR FOR CRKYRTOT,(TOTCRACK),,
CRTOTFG,TRIMMING INDICATOR FOR CRKYRTOT,(TOTCRACK),2,Trimmed relative to the 30-day freq
CRTOTFG,TRIMMING INDICATOR FOR CRKYRTOT,(TOTCRACK),98,BLANK (NO ANSWER)
CRFQFLG,TRIMMED CRKYRTOT IF R USED < 12 MOS,(TOTCRACK),,
CRFQFLG,TRIMMED CRKYRTOT IF R USED < 12 MOS,(TOTCRACK),1,Trimmed to be consistent with mo/yr of 1st use
CRFQFLG,TRIMMED CRKYRTOT IF R USED < 12 MOS,(TOTCRACK),98,BLANK (NO ANSWER)
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),,
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),1,Prefer to answer in days per week
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),2,Prefer to answer in days per month
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),3,Prefer to answer in days per year
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),91,NEVER USED CRACK
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),93,DID NOT USE CRACK IN THE PAST 12 MOS
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),94,DON'T KNOW
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),97,REFUSED
CRBSTWAY,EASIEST WAY TO TELL US # DAYS USED CRACK,(CKFRAME3),98,BLANK (NO ANSWER)
CRDAYPYR,# DAYS USED CRACK PAST 12 MONTHS,(CKYRAVE),,
CRDAYPYR,# DAYS USED CRACK PAST 12 MONTHS,(CKYRAVE),RANGE,1 - 365
CRDAYPYR,# DAYS USED CRACK PAST 12 MONTHS,(CKYRAVE),991,NEVER USED CRACK
CRDAYPYR,# DAYS USED CRACK PAST 12 MONTHS,(CKYRAVE),993,DID NOT USE CRACK IN THE PAST 12 MOS
CRDAYPYR,# DAYS USED CRACK PAST 12 MONTHS,(CKYRAVE),994,DON'T KNOW
CRDAYPYR,# DAYS USED CRACK PAST 12 MONTHS,(CKYRAVE),997,REFUSED
CRDAYPYR,# DAYS USED CRACK PAST 12 MONTHS,(CKYRAVE),998,BLANK (NO ANSWER)
CRDAYPYR,# DAYS USED CRACK PAST 12 MONTHS,(CKYRAVE),999,LEGITIMATE SKIP
CRDAYPMO,# DAYS PER MONTH USED CRACK PAST 12 MONTHS,(CKMONAVE),,
CRDAYPMO,# DAYS PER MONTH USED CRACK PAST 12 MONTHS,(CKMONAVE),RANGE,1 - 26
CRDAYPMO,# DAYS PER MONTH USED CRACK PAST 12 MONTHS,(CKMONAVE),91,NEVER USED CRACK
CRDAYPMO,# DAYS PER MONTH USED CRACK PAST 12 MONTHS,(CKMONAVE),93,DID NOT USE CRACK IN THE PAST 12 MOS
CRDAYPMO,# DAYS PER MONTH USED CRACK PAST 12 MONTHS,(CKMONAVE),94,DON'T KNOW
CRDAYPMO,# DAYS PER MONTH USED CRACK PAST 12 MONTHS,(CKMONAVE),97,REFUSED
CRDAYPMO,# DAYS PER MONTH USED CRACK PAST 12 MONTHS,(CKMONAVE),98,BLANK (NO ANSWER)
CRDAYPMO,# DAYS PER MONTH USED CRACK PAST 12 MONTHS,(CKMONAVE),99,LEGITIMATE SKIP
CRDAYPWK,# DAYS PER WEEK USED CRACK PAST 12 MONTHS,(CKWKAVE),,
CRDAYPWK,# DAYS PER WEEK USED CRACK PAST 12 MONTHS,(CKWKAVE),RANGE,1 - 7
CRDAYPWK,# DAYS PER WEEK USED CRACK PAST 12 MONTHS,(CKWKAVE),91,NEVER USED CRACK
CRDAYPWK,# DAYS PER WEEK USED CRACK PAST 12 MONTHS,(CKWKAVE),93,DID NOT USE CRACK IN THE PAST 12 MOS
CRDAYPWK,# DAYS PER WEEK USED CRACK PAST 12 MONTHS,(CKWKAVE),94,DON'T KNOW
CRDAYPWK,# DAYS PER WEEK USED CRACK PAST 12 MONTHS,(CKWKAVE),97,REFUSED
CRDAYPWK,# DAYS PER WEEK USED CRACK PAST 12 MONTHS,(CKWKAVE),98,BLANK (NO ANSWER)
CRDAYPWK,# DAYS PER WEEK USED CRACK PAST 12 MONTHS,(CKWKAVE),99,LEGITIMATE SKIP
CRKUS30A,# DAYS USED CRACK PAST 30 DAYS,(CK06),,
CRKUS30A,# DAYS USED CRACK PAST 30 DAYS,(CK06),RANGE,1 - 30
CRKUS30A,# DAYS USED CRACK PAST 30 DAYS,(CK06),85,BAD DATA Logically assigned
CRKUS30A,# DAYS USED CRACK PAST 30 DAYS,(CK06),91,NEVER USED CRACK
CRKUS30A,# DAYS USED CRACK PAST 30 DAYS,(CK06),93,DID NOT USE CRACK IN THE PAST 30 DAYS
CRKUS30A,# DAYS USED CRACK PAST 30 DAYS,(CK06),94,DON'T KNOW
CRKUS30A,# DAYS USED CRACK PAST 30 DAYS,(CK06),97,REFUSED
CRKUS30A,# DAYS USED CRACK PAST 30 DAYS,(CK06),98,BLANK (NO ANSWER)
CR30EST,BEST ESTIMATE # DAYS USED CRACK PAST 30 DAYS,(CK06DKRE),,
CR30EST,BEST ESTIMATE # DAYS USED CRACK PAST 30 DAYS,(CK06DKRE),91,NEVER USED CRACK
CR30EST,BEST ESTIMATE # DAYS USED CRACK PAST 30 DAYS,(CK06DKRE),93,DID NOT USE CRACK IN THE PAST 30 DAYS
CR30EST,BEST ESTIMATE # DAYS USED CRACK PAST 30 DAYS,(CK06DKRE),94,DON'T KNOW
CR30EST,BEST ESTIMATE # DAYS USED CRACK PAST 30 DAYS,(CK06DKRE),97,REFUSED
