Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning,
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),(AGE3),2,14-15 Years Old,
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),(AGE3),3,16-17 Years Old,
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),(AGE3),4,18-20 Years Old,
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),(AGE3),5,21-25 Years Old,
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),(AGE3),6,26-34 Years Old,
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),(AGE3),7,35 or Older,
PREGAGE2,RC-PREGNANCY AGE CATEGORY RECODE,(AGE3),1,15-17 Years Old,
PREGAGE2,RC-PREGNANCY AGE CATEGORY RECODE,(AGE3),2,18-25 Years Old,
PREGAGE2,RC-PREGNANCY AGE CATEGORY RECODE,(AGE3),3,26-44 Years Old,
PREGAGE2,RC-PREGNANCY AGE CATEGORY RECODE,(AGE3),4,"Otherwise (12-14, 45 or Older)",
DRVINAGE,RC-DUI AGE CATEGORY RECODE,(AGE3),1,16-25 Years Old,
DRVINAGE,RC-DUI AGE CATEGORY RECODE,(AGE3),2,26 or Older,
DRVINAGE,RC-DUI AGE CATEGORY RECODE,(AGE3),3,Otherwise (12-15 Years Old),
DRVINDETAG,RC-DUI DETAILED AGE CATEGORY RECODE,(AGE3),1,16-20 Years Old,
DRVINDETAG,RC-DUI DETAILED AGE CATEGORY RECODE,(AGE3),2,21-25 Years Old,
DRVINDETAG,RC-DUI DETAILED AGE CATEGORY RECODE,(AGE3),3,26 or Older,
DRVINDETAG,RC-DUI DETAILED AGE CATEGORY RECODE,(AGE3),4,Otherwise (12-15 Years Old),
SEXAGE,RC-COMBINED GENDER BY AGE CATEGORY INDICATOR,"(CATAGE, IRSEX)",1,Males Aged 12-17 (IRSEX,
SEXAGE,RC-COMBINED GENDER BY AGE CATEGORY INDICATOR,"(CATAGE, IRSEX)",2,Females Aged 12-17 (IRSEX,
SEXAGE,RC-COMBINED GENDER BY AGE CATEGORY INDICATOR,"(CATAGE, IRSEX)",3,Males Aged 18-25 (IRSEX,
SEXAGE,RC-COMBINED GENDER BY AGE CATEGORY INDICATOR,"(CATAGE, IRSEX)",4,Females Aged 18-25 (IRSEX,
SEXAGE,RC-COMBINED GENDER BY AGE CATEGORY INDICATOR,"(CATAGE, IRSEX)",5,Otherwise,
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),"(CATAGE, IRSEX)",1,NonHisp White,
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),"(CATAGE, IRSEX)",2,NonHisp Black/Afr Am,
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),"(CATAGE, IRSEX)",3,NonHisp Native Am/AK Native,
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),"(CATAGE, IRSEX)",4,NonHisp Native HI/Other Pac Isl,
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),"(CATAGE, IRSEX)",5,NonHisp Asian,
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),"(CATAGE, IRSEX)",6,NonHisp more than one race,
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),"(CATAGE, IRSEX)",7,Hispanic,
SEXRACE,RC-COMBINED GENDER BY RACE INDICATOR,"(IRSEX, NEWRACE2)",1,"Male, White, Not Hisp (IRSEX",
SEXRACE,RC-COMBINED GENDER BY RACE INDICATOR,"(IRSEX, NEWRACE2)",2,"Female, White, Not Hisp (IRSEX",
SEXRACE,RC-COMBINED GENDER BY RACE INDICATOR,"(IRSEX, NEWRACE2)",3,"Male, Black, Not Hisp (IRSEX",
SEXRACE,RC-COMBINED GENDER BY RACE INDICATOR,"(IRSEX, NEWRACE2)",4,"Female, Black, Not Hisp (IRSEX",
SEXRACE,RC-COMBINED GENDER BY RACE INDICATOR,"(IRSEX, NEWRACE2)",5,"Male, Hispanic (IRSEX",
SEXRACE,RC-COMBINED GENDER BY RACE INDICATOR,"(IRSEX, NEWRACE2)",6,"Female, Hispanic (IRSEX",
SEXRACE,RC-COMBINED GENDER BY RACE INDICATOR,"(IRSEX, NEWRACE2)",7,"Male or Female, Other Races (Otherwise)",
EDUHIGHCAT,RC-EDUCATION CATEGORIES,(IREDUHIGHST2),1,Less high school (IREDUHIGHST2,
EDUHIGHCAT,RC-EDUCATION CATEGORIES,(IREDUHIGHST2),2,High school grad (IREDUHIGHST2,
EDUHIGHCAT,RC-EDUCATION CATEGORIES,(IREDUHIGHST2),3,Some coll/Assoc Dg (IREDUHIGHST2,
EDUHIGHCAT,RC-EDUCATION CATEGORIES,(IREDUHIGHST2),4,College graduate (IREDUHIGHST2,
EDUHIGHCAT,RC-EDUCATION CATEGORIES,(IREDUHIGHST2),5,12 to 17 year olds (AGE3,
HEALTH2,RC-OVERALL HEALTH RECODE,(HEALTH),.,Unknown (Otherwise),
HEALTH2,RC-OVERALL HEALTH RECODE,(HEALTH),1,Excellent (HEALTH,
HEALTH2,RC-OVERALL HEALTH RECODE,(HEALTH),2,Very Good (HEALTH,
HEALTH2,RC-OVERALL HEALTH RECODE,(HEALTH),3,Good (HEALTH,
HEALTH2,RC-OVERALL HEALTH RECODE,(HEALTH),4,Fair/Poor (HEALTH,
EDUSCHLGO,NOW GOING TO SCHOOL,"(QD17, QD17A, QD17B)",1,Yes,
EDUSCHLGO,NOW GOING TO SCHOOL,"(QD17, QD17A, QD17B)",2,No,
EDUSCHLGO,NOW GOING TO SCHOOL,"(QD17, QD17A, QD17B)",11,Yes (EDUSKPMON,
EDUSCHLGO,NOW GOING TO SCHOOL,"(QD17, QD17A, QD17B)",85,BAD DATA Logically assigned,
EDUSCHLGO,NOW GOING TO SCHOOL,"(QD17, QD17A, QD17B)",94,DON'T KNOW,
EDUSCHLGO,NOW GOING TO SCHOOL,"(QD17, QD17A, QD17B)",97,REFUSED,
EDUSCHLGO,NOW GOING TO SCHOOL,"(QD17, QD17A, QD17B)",98,BLANK (NO ANSWER),
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),1,5th Grade or lower,
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),2,6th Grade,
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),3,7th Grade,
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),4,8th Grade,
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),5,9th Grade,
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),6,10th Grade,
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),7,11th Grade,
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),8,12th Grade,
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,(QD18),9,College or university/1st year,
