variable_name,description
ASTHMAAGE,How old were you when your asthma was first diagnosed?
AD_MDEA7,
ADWRSLOW,Did you talk or move more slowly than is normal for you nearly every day?
ASTHMAEVR,
AD_MDEA8,
ADWRSMOR,"During that [TIMEFILL] period of time, did you sleep a lot more than usual nearly every night?"
ASTHMANOW,Do you still have asthma?
ADCOUNS,
ADWRTHOT,"The next questions are about changes in your ability to concentrate, and your feelings about yourself. Again, in answering these questions, think about the period of time/most recent period of time when your [FEELNOUN] and other problems were the worst. During that [TIMEFILL] time, did your thoughts come much more slowly than usual or seem confused nearly every day?"
ATXMDEYR,"NOTE: The variables in this section are recoded variables that were created from one or more of the edited or imputed variables from the preceding sections. NOTE: Certain source variables that were used to create recoded variables have valid values that might not have been reported or assigned for the current survey year. However, these values have been included in the general specifications in the codebook on how the recoded variables were created. See additional details about this issue in the Organization of the Data File section of this codebook introduction. NOTE: The following 16 variables are among all adult respondents who were asked the respective questions and are not confined to those respondents who were ultimately classified as having a Major Depressive Episode (MDE) in their lifetime or past year. To produce estimates among adults with MDE, the analysis will need to be restricted by either the lifetime MDE variable (IRAMDELT) or the past year MDE variable"
ADDPDISC,"During times when you felt sad, empty, or depressed most of the day, did you ever feel discouraged about how things were going in your life?"
ADWRWRTH,Did you feel totally worthless nearly every day?
AVGGRADE,
ADDPLSIN,"During the times when you felt sad, empty, or depressed, did you ever lose interest in most things like work, hobbies, and other things you usually enjoy?"
AGE3,"NOTE: After a respondent has entered his/her birthdate in the first part of the questionnaire, he/she has multiple opportunities to change his/her age in response to consistency checks throughout the questionnaire. It is therefore possible for the age recorded by the respondent at the beginning of the questionnaire to be different than the age at the end of the questionnaire. The final age variable is determined using these two constituent age variables, in addition to the age calculated from the raw birthdate and the final edited interview date, the age entered in the questionnaire roster (if it exists), and the pre-interview screener age."
BKARSON,"In the past 12 months, were you arrested and booked for arson?"
ADDPPROB,People who have problems with their mood often have other problems at the same time. These problems may include things like changes in: - sleep - appetite - energy - the ability to concentrate and remember - feelings of low self-worth Did you ever have any of these problems during a period of time when you [FEELFILL] for two weeks or longer?
AHBCHMDE,
BKBURGL,"In the past 12 months, were you arrested and booked for burglary or breaking and entering?"
ADDPR2WK,"Think about the times when you [FEELFILL]. Did you ever have a period of time like this that lasted most of the day, nearly every day, for two weeks or longer?"
AHLTMDE,"The following variable, AHLTMDE, indicates whether an adult reported seeing or talking to a health professional about MDE in the past year. Adults were classified as having seen or talked to a health professional, AHLTMDE=1, if they reported seeing or talking to any of the following professionals: general practitioner or family doctor (ADOCMDE=1); other medical doctor (AOMDMDE=1); psychologist (APSY1MDE=1); psychiatrist or psychotherapist (APSY2MDE=1); social worker (ASOCMDE=1); counselor (ACOUNMDE=1); other mental health professional (AOMHMDE=1); or nurse, occupational therapist, or other health professional (ANURSMDE=1). Respondents were classified as having not seen or talked to a health professional, AHLTMDE=0, if they reported not seeing or talking to all of the professionals listed above (source variable=0). (ACOUNMDE, ADOCMDE, ANURSMDE, AOMDMDE, AOMHMDE, APSY1MDE, APSY2MDE, ASOCMDE)"
BKDRUG,"In the past 12 months, were you arrested and booked for possession, manufacture, or sale of drugs?"
ADDPREV,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. NOTE: All of the respondents aged 18 or older were asked the questions in the Adult Depression module in this current survey year. In the 2004 survey, a subset of the adults was asked these questions. Have you ever in your life had a period of time lasting several days or longer when most of the day you felt sad, empty or depressed?"
AIIND102,"The Census provides data for five types of American Indian areas (AIAs): • Federally-recognized American Indian reservations (AIRs) and off-reservation trust land areas – areas that have been set aside by the U.S. for the use of American Indian tribes. The tribes have primary governmental authority over the AIRs and associated off-reservation trust lands. Federal AIRs may cross State and all other area boundaries. • State-recognized American Indian Reservations (SAIRs) - reservations established by some State governments for tribes recognized by the State. The tribes may have governmental authority over the SAIRs. SAIRs must be defined within a single State but may cross county and other types of boundaries. • Oklahoma tribal statistical areas (OTSAs) - areas intended to represent the former American Indian reservations that existed in Indian and Oklahoma territories prior to Oklahoma statehood in 1907. OTSAs are contained within the State of Oklahoma but may cross all other area boundaries. • Tribal designated statistical areas (TDSAs) - areas identified and delineated for federally-recognized American Indian tribes that do not currently have an AIR or off-reservation trust land. A TDSA is intended to encompass a compact and contiguous area that contains a concentration of individuals who identify with the delineating federally-recognized American Indian tribe. TDSAs may cross State and all other area boundaries. • State designated tribal statistical areas (SDTSAs) - areas identified and delineated for State-recognized tribes that are not federally- recognized and do not have an AIR or off-reservation trust land. SDTSAs provide State-recognized tribes without reservations statistical data for a geographic area that encompasses a substantial concentration of tribal members. SDTSAs must be defined within a single State but may cross county and other types of boundaries. The AIAs are mutually exclusive, i.e., no AIA can overlap another AIA. In cases where more than one tribe claims jurisdiction over an area, the Census Bureau creates a joint-use area as a separate entity to define this area of dual claims. The variable AIIND102 is based on 2010 census data and is defined by mapping the census block in which a respondent resides to the 2010 census file."
BKDRUNK,"In the past 12 months, were you arrested and booked for drunkenness or other liquor law violations?"
ADDSCEV,Have you ever had a period of time lasting several days or longer when most of the day you were very discouraged about how things were going in your life?
AIRDUSEVER,
BKDRVINF,"In the past 12 months, were you arrested and booked for driving under the influence of alcohol or drugs?"
ADDSLSIN,"During times when you felt discouraged about how things were going in your life, did you ever lose interest in most things like work, hobbies, and other things you usually enjoy?"
AIRDUSTER,"Have you ever, even once, inhaled computer keyboard cleaner, also known as air duster, for kicks or to get high?"
BKFRAUD,"In the past 12 months, were you arrested and booked for fraud, possessing stolen goods, or vandalism?"
ADFAMDOC,"During the past 12 months, which professionals did you see or talk to about [NUMPROBS] with your mood?"
AKSSLR6WRST,"NOTE: The following variable, AKSSLR6WRST, is an alternative version of the original worst K6 total score in the past year (KSSLR6MAX) with values ranging from 0 to 17 rather than 0 to 24. This alternative total score was calculated by assigning a value of 0 when KSSLR6MAX had a value from 0 to 7 and assigning a value of 1 to 17 when KSSLR6MAX had a corresponding value from 8 to 24. This alternative version was used in the regression model to determine SMI because SMI prevalence was typically extremely low for respondents with worst K6 total scores less than 8. Specific details about this variable are provided in the Recoded Mental Health Appendix."
BKLARCNY,"In the past 12 months, were you arrested and booked for larceny or theft? Do not include motor vehicle theft."
ADHERBAL,
AL30EST,What is your best estimate of the number of days you drank alcohol during the past 30 days?
BKMVTHFT,"The next questions are about offenses that are against the law. As you read each question, please answer whether you were arrested and booked for that offense during the past 12 months. In the past 12 months, were you arrested and booked for motor vehicle theft?"
ADLOSEV,"Have you ever had a period of time lasting several days or longer when you lost interest in most things you usually enjoy like work, hobbies, and personal relationships?"
ALBSTWAY,"Now think about the past 12 months, from [DATEFILL] through today. We want to know how many days you've had a drink of an alcoholic beverage during the past 12 months. What would be the easiest way for you to tell us how many days you drank alcoholic beverages?"
BKOTH,"NOTE: For the variable BKOTH, a code of 3 indicates that respondents did not originally answer ""yes"" to any of the questions about specific offenses for which they were arrested/booked in the past 12 months, including the question about ""some other offense."" However, these respondents subsequently specified a valid response for an offense in the past 12 months. A code of 5 in BKOTH indicates that respondents reported being arrested/booked at least once in the past 12 months but did not indicate at least one offense for which they were arrested in that period. In the past 12 months, were you arrested and booked for some other offense besides these that have been named? Please do not include minor traffic violations."
ADLSI2WK,Did you ever have a period of time like this that lasted most of the day nearly every day for two weeks or longer?
ALCAGLST,The computer recorded that you last drank an alcoholic beverage [ALCREC FILL]. How old were you the last time you drank an alcoholic beverage?
BKOTHOF2,
ADNURSE,
ALCBNG30D,"NOTE: Beginning in 2015, female respondents were asked ALCBNG30D to report the number of days that they had 4 or more drinks on the same occasion in the past 30 days. As in prior years, male respondents in 2015 were asked for ALCBNG30D to report the number of days that they had 5 or more drinks on the same occasion in the past 30 days. During the past 30 days, that is since [DATEFILL], on how many days did you have [4 or more]/[5 or more] drinks on the same occasion? By ""occasion,"" we mean at the same time or within a couple of hours of each other."
BKPOSTOB,"In the past 12 months, were you arrested and booked for possession of tobacco?"
ADOCMDE,
ALCDAYS,"Think specifically about the past 30 days, from [DATEFILL], up to and including today. During the past 30 days, on how many days did you drink one or more drinks of an alcoholic beverage?"
BKROB,"In the past 12 months, were you arrested and booked for robbery?"
ADOTHDOC,
ALCEVER,"These questions are about drinks of alcoholic beverages. Throughout these questions, by a ""drink"" we mean a can or bottle of beer, a glass of wine or a wine cooler, a shot of liquor, or a mixed drink with liquor in it. We are not asking about times when you only had a sip or two from a drink. Have you ever, even once, had a drink of any type of alcoholic beverage? Please do not include times when you only had a sip or two from a drink."
BKSEXNR,"NOTE: BKSEXNR was created from answers to the following questions: In the past 12 months, were you arrested and booked for prostitution or commercialized sex? In the past 12 months, were you arrested and booked for any other sexual offense, not including rape or prostitution?"
ADOTHHLP,
ALCFLAG,
BKSMASLT,"In the past 12 months, were you arrested and booked for other assault, such as simple assault or battery?"
ADOTHMHP,
ALCMDAYS,
BKSRVIOL,"NOTE: BKSRVIOL was created from answers to the following questions: In the past 12 months, were you arrested and booked for aggravated assault? In the past 12 months, were you arrested and booked for forcible rape? In the past 12 months, were you arrested and booked for murder, homicide, or nonnegligent manslaughter?"
ADPB2WK,"In the past 12 months, did you have a period of time when you felt [FEELNOUN] for two weeks or longer while also having some of the other problems we asked about?"
ALCMFU,In what month in [CURRENT YEAR] did you first have a drink of an alcoholic beverage? In what month in [YEAR FROM AL02a or AL02b] did you first have a drink of an alcoholic beverage?
BLNT30C1,The answer to the last question and an earlier question disagree. Which is correct?
ADPBAGE,How old were you?
ALCMLU,In what month in [CURRENT YEAR] did you last drink an alcoholic beverage? In what month in [YEAR FROM LU08a or LU08b] did you last drink an alcoholic beverage?
BLNT30C2,The answer to the last question and an earlier question disagree. Which answer is correct?
ADPBDLYA,"During that [TIMEFILL] period of time, how often were you unable to carry out your daily activities because of these problems with your mood?"
ALCMON,
BLNT30DY,"On how many of the past 30 days, that is, since [DATEFILL], did you smoke part or all of a cigar with marijuana in it?"
ADPBINTF,"You mentioned having some of the problems I just asked you about. During that [TIMEFILL] period of time, how much did your [FEELNOUN] and these other problems interfere with your work, your social life, or your personal relationships?"
ALCNUMDKPM,"The following variable, ALCNUMDKPM, was defined as the product of the number of days a user consumed alcohol in the past month (IRALCFM) and the average number of drinks consumed per day on the days alcohol was used in the past month (ALCUS30D). A value of missing was assigned whenever a respondent said that they had not used alcohol in the past month (IRALCFM=91, 93 or ALCUS30D=991, 993) or the average number of drinks consumed per day on the days alcohol was used in the past month was unknown (ALCUS30D=985, 994, 997, 998) or logically assigned to 5 or more (ALCUS30D=975)."
BLNTAGE,How old were you the first time you smoked part or all of a cigar with marijuana in it?
ADPBNUM,"In your entire life, how many times did you feel [FEELNOUN] for two weeks or longer while also having some of the other problems we asked about? If you are not sure of your answer, just make your best guess."
ALCREC,How long has it been since you last drank an alcoholic beverage?
BLNTEVER,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. NOTE: When respondents previously reported never using marijuana but reported lifetime use of cigars with marijuana in them (i.e., ""blunts""), a consistency check was triggered only when respondents reported using blunts in the past 30 days. Therefore, BLNTEVER was assigned a code of 11 when respondents reported using blunts but they did not report use in the past 30 days, and they previously had reported never using marijuana. Sometimes people take some tobacco out of a cigar and replace it with marijuana. This is sometimes called a ""blunt"". Have you ever smoked part or all of a cigar with marijuana in it?"
ADPBRMBR,Think of the very first period of time in your life lasting two weeks or longer when you [FEELFILL] for most of the day nearly every day and also had some of the other problems we just asked about. Can you remember your exact age?
ALCTRY,Think about the first time you had a drink of an alcoholic beverage. How old were you the first time you had a drink of an alcoholic beverage? Please do not include any time when you only had a sip or two from a drink.
BLNTMFU,In what month in [CURRENT YEAR] did you first smoke part or all of a cigar with marijuana in it? In what month in [YEAR FROM BL08a or BL08b] did you first smoke part or all of a cigar with marijuana in it?
ADPSDAYS,"NOTE: Beginning with the 2008 survey, respondents who answered ""don't know"" or ""refused"" to questions corresponding to the variables ADPSHMGT, ADPSWORK, ADPSRELS, and ADPSSOC are no longer asked the question corresponding to ADPSDAYS unless they entered a response of 1 to 10 in at least one of the other questions corresponding to ADPSHMGT through ADPSSOC. About how many days out of 365 in the past 12 months were you totally unable to work or carry out your normal activities because of your You can use any number between 0 and 365 to answer"
ALCUS30D,"NOTE: Beginning in 2015, level 975 was updated to ""AT LEAST 4 or 5 Logically assigned"" to reflect the change in the threshold for binge alcohol use among female respondents from 5 or more drinks on an occasion prior to 2015 to 4 or more drinks on an occasion in 2015. See the note below for ALCBNG30D. On the ALC30DAY/ALCESTFL days that you drank during the past 30 days, how many drinks did you usually have? Count as a drink a can or bottle of beer; a wine cooler or a glass of wine, champagne, or sherry; a shot of liquor or a mixed drink or cocktail."
BLNTNOMJ,"NOTE: The variable BLNTNOMJ was assigned a code of 5 if respondents were not asked this question because they reported in the TOBACCO module that they smoked cigars in the past 30 days but reported in the BLUNTS module that they did not smoke cigars with marijuana in them in the past 30 days. It could be logically inferred that all of the cigars that these respondents smoked in the past 30 days did not have marijuana in them. BLNTNOMJ was assigned codes of 14 or 24 if respondents were not asked this question and they reported in the BLUNTS module that they smoked a cigar with marijuana in it in the past 30 days. A code of 14 was assigned if respondents reported in the TOBACCO module that they had smoked cigars but not in the past 30 days. A code of 24 was assigned if respondents reported in the TOBACCO module that they had never smoked part or all of a cigar. Earlier, you reported that you had smoked part or all of a cigar during the past 30 days. During the past 30 days, did you smoke any cigars that did not have marijuana in them?"
ADPSHMGT,"NOTE: Beginning with the 2008 survey, the questions corresponding to the variables ADPSHMGT, ADPSWORK, ADPSRELS, and ADPSSOC no longer allow respondents to choose the category 95 (ACTIVITY DOES NOT APPLY). Think about the time in the past 12 months when [NUMPROBS] with your mood [WASWERE] most severe. Using the 0 to 10 scale shown below, where 0 means no interference and 10 means very severe interference, select the number that describes how much [NUMPROBS] interfered with your ability to do each of the following activities during that period. You can use any number between 0 and 10 to answer. How much did your [FEELNOUN] interfere with your ability to do home management task, like cleaning, shopping, and working around the house, apartment, or yard?"
ALCYDAYS,
BLNTREC,"NOTE: When respondents previously reported using marijuana but reported less recent use of marijuana than they reported for blunts, a consistency check was triggered only when respondents reported using blunts in the past 30 days. Therefore, BLNTREC was assigned a code of 12 when respondents reported last using marijuana more than 12 months ago but reported using blunts more than 30 days ago but within the past 12 months. How long has it been since you last smoked part or all of a cigar with marijuana in it?"
ADPSRELS,How much did your [FEELNOUN] interfere with your ability to form and maintain close relationships with other people during that period of time? You can use any number between 0 and 10 to answer.
ALCYFU,Did you first have a drink of an alcoholic beverage in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first have a drink of an alcoholic beverage in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first have a drink of an alcoholic beverage?
BLNTYFU,Did you first smoke part or all of a cigar with marijuana in it in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first smoke part or all of a cigar with marijuana in it in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first smoke part or all of a cigar with marijuana in it?
ADPSSOC,How much did [NUMPROBS] interfere with your ability to have a social life during that period of time? You can use any number between 0 and 10 to answer.
ALCYLU,Did you last drink an alcoholic beverage in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you last drink an alcoholic beverage in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you last drink an alcoholic beverage?
BLRECFL2,"NOTE: BLRECFL2 has nonblank values when data on initiation of use from BLNTAGE, BLNTYFU, or BLNTMFU indicate more recent use of blunts than was reported in BLNTREC."
ADPSWORK,"During that time in the past 12 months when your [FEELNOUN] was most severe, how much did this interfere with your ability to work? You can use any number between 0 and 10 to answer."
ALCYR,
BMI2,"BMI2 was created from the variables WTPOUND2 and HTINCHE2 according to the formula of 703 times WTPOUND2 divided by the square of HTINCHE2. BMI2 was set to a SAS missing value (unknown) if WTPOUND2 had a value of 9985, 9994, 9997, or 9998 or if HTINCHE2 had a value of 985, 994, 997, or 998."
ADPSYCH,
ALCYRBFR,"NOTE: The variables ALCYRBFR and ALCAGLST were not edited with respect to one another. Therefore, inconsistencies could exist between these two variables. Earlier questions were about the past 12 months. This question is about the year before that, that is, from [DATEFILL - 12 MONTHS] to [DATEFILL].] During that year, beginning [DATEFILL - 12 MONTHS] and ending [DATEFILL], did you have a drink of any type of alcoholic beverage, even once?"
BNGDRKMON,"""Binge"" Alcohol Use, BNGDRKMON, is defined as drinking five or more drinks on the same occasion for males or four or more drinks on the same occasion for females on at least one day in the past 30 days. For this variable, ""occasion"" means at the same time or within a couple hours of each other."
ADPSYMD,
ALCYRTOT,
BNGDRMDAYS,
ADRELIG,
ALDAYPMO,"On average, how many days did you drink an alcoholic beverage each month during the past 12 months?"
BOOKED,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. The next questions are about encounters with the police or the court system. Not counting minor traffic violations, have you ever been arrested and booked for breaking the law? Being ""booked"" means that you were taken into custody and processed by the police or by someone connected with the courts, even if you were then released."
ADRX12MO,"During the past 12 months, did you take prescription medication that was prescribed for [NUMPROBS]?"
ALDAYPWK,"On average, how many days did you drink an alcoholic beverage each week during the past 12 months?"
BZOANYYR,"The following variable for any past year use of Any Benzodiazepines, BZOANYYR, was assigned a positive response if a respondent indicated any past year use of Benzodiazepine Tranquilizers (TRBZOANYYR=1), any past year use of Benzodiazepine Sedatives (SVBZOANYYR=1), past year misuse of Benzodiazepine Tranquilizers that were specified as other Sedatives, or past year misuse of Benzodiazepine Sedatives that were specified as other Tranquilizers. This is the base variable for past year use of any Benzodiazepines imputation, IRBZOANYYR."
ADRXHLP,"During the past 12 months, how much has this prescription medication helped you?"
ALDAYPYR,On how many days in the past 12 months did you drink an alcoholic beverage?
BZONMYR,"The following variable for any past year misuse of Any Benzodiazepines, BZONMYR, was assigned a positive response if a respondent indicated past year misuse of Benzodiazepine Tranquilizers (TRBZONMYR=1), past year misuse of Benzodiazepine Sedatives (SVBZONMYR=1), past year misuse of Benzodiazepine Tranquilizers that were specified as other Sedatives, or past year misuse of Benzodiazepine Sedatives that were specified as other Tranquilizers. This is the base variable for past year misuse of any Benzodiazepines imputation, IRBZONMYR."
ADRXNOW,Are you currently taking prescription medication that was prescribed for [NUMPROBS]?
ALDYSFG,
CABINGAGE,Earlier the computer recorded that you had [4 or more]/[5 or more] drinks on the same occasion in the past 30 days. How old were you the first time you had [4 or more]/[5 or more] drinks on the same occasion? How old were you the first time you had [4 or more]/[5 or more] drinks on the same occasion?
ADSEEDOC,"Here is a list of professionals some people talk to about the problems we have been asking about: - General practitioner or family doctor - Other medical doctor like a cardiologist, gynecologist, urologist - Psychologist - Psychiatrist or psychotherapist - Social Worker - Counselor - Other mental health professional, like a mental health nurse - A nurse, occupational therapist, or other health professional - A religious or spiritual advisor like a minister, priest, or rabbi - Another healer, like an herbalist, chiropractor, acupuncturist, or massage therapist At any time in the past 12 months, did you see or talk to a medical doctor or other professional about your [FEELNOUN]?"
ALFQFLG,
CABINGEVR,"Earlier the computer recorded that you have had at least one drink of an alcoholic beverage in your lifetime. Have you ever had [4 or more]/[5 or more] drinks on the same occasion? By 'occasion,' we mean at the same time or within a couple of hours of each other."
ADSMMDEA,
ALTOTFG,
CABINGFLG,"NOTE: Beginning in 2015, female respondents were asked for CABINGEVR, CABINGAGE, CABINGYFU, and CABINGMFU to report about consumption of 4 or more drinks on the same occasion. As in prior years, male respondents in 2015 were asked for CABINGEVR, CABINGAGE, CABINGYFU, and CABINGMFU to report about consumption of 5 or more drinks on the same occasion. Variables pertaining to consumption of 5 or more drinks or 4 or more drinks on the same occasion have been edited with respect to ALCUS30D and ALCBNG30D. CABINGFLG takes into account the editing of the variables ALCUS30D and ALCBNG30D in the ALCOHOL module."
ADSOCWRK,
AMDEIMP,"The following variable, AMDEIMP, is restricted to adults with past year MDE (AMDEYR=1) and is derived from the maximum level of interference over the four role domains of SDS: home management (ASDSHOM2), ability to work (ASDSWRK2), close relationships (ASDSREL2), and social life (ASDSSOC2). Adults with a past year MDE (AMDEYR=1) and a ""severe"" or ""very severe"" maximum level of interference are assigned AMDEIMP=1. Adults without a past year MDE (AMDEYR=2) or a maximum level of interference of ""none"", ""mild"", or ""moderate"" (and no missing data across the four role domains) are assigned AMDEIMP=2. All other respondents are assigned a missing value for AMDEIMP. Beginning in 2021, missing values for AMDEIMP were replaced using statistical imputation. The imputation-revised variable used in analysis, IRAMDEIMP, appears in the Imputed Adult Depression section."
CABINGMFU,In what month in [CURRENT YEAR] did you first have [4 or more]/[5 or more] drinks on the same occasion? In what month in [YEAR FROM CA11a or CA11b] did you first have [4 or more]/[5 or more] drinks on the same occasion?
ADSUITPACOM,
AMDELT,"NOTE: The following variable, AMDELT, identifies an adult as having a major depressive episode (MDE) in their lifetime and AMDEYR identifies an adult as having MDE in the prior year. Beginning in 2021, missing values for AMDELT and AMDEYR were replaced using statistical imputation. The imputation-revised variables used in analysis, IRAMDELT and IRAMDEYR, appear in the Imputed Adult Depression section. A respondent was classified as having a major depressive episode (MDE) in their lifetime, AMDELT=1, if they reported experiencing at least five out of the nine criteria used to define an adult as having had MDE in their lifetime, where at least one of the criteria is a depressed mood or loss of interest or pleasure in daily activities (ADSMMDEA=1). An adult was classified as NOT having a major depressive episode (MDE) in their lifetime, AMDELT=2, if they met either of these conditions: 1. Reported experiencing fewer than five out of the nine criteria used to define an adult as having had MDE in their lifetime 2. If the number of criteria used to define an adult as having had MDE in their lifetime is unknown (ADSMMDEA=94,97,98) and the respondent reported at least one of the following: 1. Never having had a period of time lasting several days or longer when felt sad, empty, or depressed (ADDPREV=2), discouraged about how things were going in life (ADDSCEV=2), and lost interest in most things usually enjoyable 2. Experienced the feelings in (i), but they did not last most of the day, nearly every day for two weeks or longer (ADLSI2WK=2) or (ADDPR2WK=2). 3. Experienced the feelings in (i) most of the day, nearly every day for two weeks or longer, but the feelings lasted less than an hour when mood was most severe and frequent (ADWRHRS=1). 4. Experienced the feelings in (i) most of the day, nearly every day for two weeks or longer for at least an hour during those times when mood was most severe and frequent, but emotional distress was mild (ADWRDST=1), there was never a time when emotional distress was so severe that you could not be cheered up (ADWRCHR=4), and there was never a time when your emotional distress was so severe that you could not carry out your daily activities (ADWRIMP=4). 5. Experienced the feelings in (i) most of the day, nearly every day for two weeks or longer for at least an hour and the severe distress were more than mild or at some point could not be cheered up or could not carry out daily activities, but never had any other problems during those weeks, such as changes in sleep, appetite, energy, the ability to concentrate and remember, or feelings of low self-worth (ADDPPROB=2). (ADDPPROB, ADDPR2WK, ADDPREV, ADDSCEV, ADLOSEV, ADLSI2WK, ADSMMDEA, ADWRCHR, ADWRDST, ADWRHRS, ADWRIMP)"
CABINGYFU,Did you first have [4 or more]/[5 or more] drinks on the same occasion in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first have [4 or more]/[5 or more] drinks on the same occasion in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first have [4 or more]/[5 or more] drinks on the same occasion?
ADSUITPAYR,
AMDETXRX,"The following variable, AMDETXRX, is defined as having received treatment/counseling for MDE in the past year if (1) saw or talked to a medical doctor or other professional about depressive feelings or (2) used prescription medication for depressive feelings."
CABLADDER,"What kind of cancer was it? Enter all that apply. To select more than one category, press the space bar between the numbers. When you have finished, press [ENTER]."
ADTMTHLP,"During the past 12 months, how much has treatment or counseling helped you?"
AMDEYR,"NOTE: Beginning in 2021, missing values for AMDEYR were replaced using statistical imputation. The imputation-revised variable used in analysis, IRAMDEYR, appears in the Imputed Adult Depression section."
CABLOLEULYM,
ADTMTNOW,Are you currently receiving professional treatment or counseling for [NUMPROBS] with your mood?
AMIPY,"The following variable, AMIPY, is an indicator for Any Mental Illness (AMI) based on the 2012 predicted probability of SMI (SMIPPPY). If SMIPPPY is greater than or equal to a specified cutoff point (0.0192519810) then AMIPY=1, and if SMIPPPY is less than the cutoff point then AMIPY=0. AMI is defined as having Serious, Moderate, or Mild Mental Illness. Specific details about this variable can be found in the Recoded Mental Health Appendix."
CABPLACE,At which of these places did you buy the last alcoholic beverage that you drank?
ADWRAGE,How old were you when that worst period of time started? Then think of the most recent time when you [FEELFILL] for two weeks or longer and you also had the largest number of these other problems at the same time. How old were you when that time started?
AMIRSUD5ANY,
CABREAST,
ADWRCHR,"Again, think of times lasting two weeks or longer when [NUMPROBS] with your mood [WASWERE] most severe and frequent. How often, during those times, was your emotional distress so severe that nothing could cheer you up?"
AMISUD5ANY,
