Question_Code,Short_description,Answer_code,Answer_meaning
SRVC88,Facility offers acamprosate (Campral®) pharmacotherapy services (Q.12),0,No
SRVC88,Facility offers acamprosate (Campral®) pharmacotherapy services (Q.12),1,Yes
SRVC94,Facility offers nicotine replacement pharmacotherapy services (Q.12),0,No
SRVC94,Facility offers nicotine replacement pharmacotherapy services (Q.12),1,Yes
SRVC106,"Facility offers non-nicotine smoking/tobacco cessation medications (for example, bupropion, varenicline) (Q.12)",0,No
SRVC106,"Facility offers non-nicotine smoking/tobacco cessation medications (for example, bupropion, varenicline) (Q.12)",1,Yes
SRVC95,Facility offers medications for psychiatric disorders (Q.12),0,No
SRVC95,Facility offers medications for psychiatric disorders (Q.12),1,Yes
SRVC85,Facility offers methadone pharmacotherapy services (Q.12),0,No
SRVC85,Facility offers methadone pharmacotherapy services (Q.12),1,Yes
SRVC87,Facility offers buprenorphine with naloxone pharmacotherapy services (Q.12),0,No
SRVC87,Facility offers buprenorphine with naloxone pharmacotherapy services (Q.12),1,Yes
SRVC86,Facility offers buprenorphine without naloxone pharmacotherapy services (Q.12),0,No
SRVC86,Facility offers buprenorphine without naloxone pharmacotherapy services (Q.12),1,Yes
SRVC129,Facility offers buprenorphine sub-dermal implant (Probuphine®) pharmacotherapy services (Q.12),0,No
SRVC129,Facility offers buprenorphine sub-dermal implant (Probuphine®) pharmacotherapy services (Q.12),1,Yes
SRVC130,"Facility offers buprenorphine (extended-release, injectable, for example, Sublocade®) pharmacotherapy services (Q.12)",0,No
SRVC130,"Facility offers buprenorphine (extended-release, injectable, for example, Sublocade®) pharmacotherapy services (Q.12)",1,Yes
SRVCMEDHIV,"Facility offers medications for HIV treatment (for example, antiretroviral medications such as tenofovir, efavirenz, emtricitabine, atazanavir, and lamivudine) (Q.12)",0,No
SRVCMEDHIV,"Facility offers medications for HIV treatment (for example, antiretroviral medications such as tenofovir, efavirenz, emtricitabine, atazanavir, and lamivudine) (Q.12)",1,Yes
SRVCMEDHCV,"Facility offers medications for hepatitis C (HCV) treatment (for example, sofosbuvir, ledipasvir, interferon, peginterferon, ribavirin) (Q.12)",0,No
SRVCMEDHCV,"Facility offers medications for hepatitis C (HCV) treatment (for example, sofosbuvir, ledipasvir, interferon, peginterferon, ribavirin) (Q.12)",1,Yes
SRVCMEDLOFE,Facility offers lofexidine pharmacotherapy services (Q.12),0,No
SRVCMEDLOFE,Facility offers lofexidine pharmacotherapy services (Q.12),1,Yes
SRVCMEDCLON,Facility offers clonidine pharmacotherapy services (Q.12),0,No
SRVCMEDCLON,Facility offers clonidine pharmacotherapy services (Q.12),1,Yes
SRVC30,Facility has a tailored program for adolescents (Q.19a),M,Missing
SRVC30,Facility has a tailored program for adolescents (Q.19a),0,No
SRVC30,Facility has a tailored program for adolescents (Q.19a),1,Yes
SRVC120,Facility has a tailored program for young adults (Q.19a),M,Missing
SRVC120,Facility has a tailored program for young adults (Q.19a),0,No
SRVC120,Facility has a tailored program for young adults (Q.19a),1,Yes
SRVC34,Facility has a tailored program for adult women (Q.19a),M,Missing
SRVC34,Facility has a tailored program for adult women (Q.19a),0,No
SRVC34,Facility has a tailored program for adult women (Q.19a),1,Yes
SRVC33,Facility has a tailored program for pregnant/postpartum women (Q.19a),M,Missing
SRVC33,Facility has a tailored program for pregnant/postpartum women (Q.19a),0,No
SRVC33,Facility has a tailored program for pregnant/postpartum women (Q.19a),1,Yes
SRVC64,Facility has a tailored program for adult men (Q.19a),M,Missing
SRVC64,Facility has a tailored program for adult men (Q.19a),0,No
SRVC64,Facility has a tailored program for adult men (Q.19a),1,Yes
SRVC63,Facility has a tailored program for seniors or older adults (Q.19a),M,Missing
SRVC63,Facility has a tailored program for seniors or older adults (Q.19a),0,No
SRVC63,Facility has a tailored program for seniors or older adults (Q.19a),1,Yes
SRVC62,"Facility has a tailored program for lesbian, gay, bisexual, transgender (LGBT) clients (Q.19a)",M,Missing
SRVC62,"Facility has a tailored program for lesbian, gay, bisexual, transgender (LGBT) clients (Q.19a)",0,No
SRVC62,"Facility has a tailored program for lesbian, gay, bisexual, transgender (LGBT) clients (Q.19a)",1,Yes
SRVC113,Facility has a tailored program for veterans (Q.19a),M,Missing
SRVC113,Facility has a tailored program for veterans (Q.19a),0,No
SRVC113,Facility has a tailored program for veterans (Q.19a),1,Yes
SRVC114,Facility has a tailored program for active duty military (Q.19a),M,Missing
SRVC114,Facility has a tailored program for active duty military (Q.19a),0,No
SRVC114,Facility has a tailored program for active duty military (Q.19a),1,Yes
SRVC115,Facility has a tailored program for members of military families (Q.19a),M,Missing
SRVC115,Facility has a tailored program for members of military families (Q.19a),0,No
SRVC115,Facility has a tailored program for members of military families (Q.19a),1,Yes
SRVC61,Facility has a tailored program for criminal justice clients (other than DUI/DWI) (Q.19a),M,Missing
SRVC61,Facility has a tailored program for criminal justice clients (other than DUI/DWI) (Q.19a),0,No
SRVC61,Facility has a tailored program for criminal justice clients (other than DUI/DWI) (Q.19a),1,Yes
SRVC31,Facility has a tailored program for clients with co-occurring mental and substance use disorders (Q.19a),M,Missing
SRVC31,Facility has a tailored program for clients with co-occurring mental and substance use disorders (Q.19a),0,No
SRVC31,Facility has a tailored program for clients with co-occurring mental and substance use disorders (Q.19a),1,Yes
SRVCPAINSA,Facility has a tailored program for clients with co-occurring pain and substance use (Q.19a),M,Missing
SRVCPAINSA,Facility has a tailored program for clients with co-occurring pain and substance use (Q.19a),0,No
SRVCPAINSA,Facility has a tailored program for clients with co-occurring pain and substance use (Q.19a),1,Yes
SRVC32,Facility has a tailored program for clients with HIV or AIDS (Q.19a),M,Missing
SRVC32,Facility has a tailored program for clients with HIV or AIDS (Q.19a),0,No
SRVC32,Facility has a tailored program for clients with HIV or AIDS (Q.19a),1,Yes
SRVC121,Facility has a tailored program for clients who have experienced sexual abuse (Q.19a),M,Missing
SRVC121,Facility has a tailored program for clients who have experienced sexual abuse (Q.19a),0,No
SRVC121,Facility has a tailored program for clients who have experienced sexual abuse (Q.19a),1,Yes
SRVC122,"Facility has a tailored program for clients who have experienced intimate partner violence, domestic violence (Q.19a)",M,Missing
SRVC122,"Facility has a tailored program for clients who have experienced intimate partner violence, domestic violence (Q.19a)",0,No
SRVC122,"Facility has a tailored program for clients who have experienced intimate partner violence, domestic violence (Q.19a)",1,Yes
SRVC116,Facility has a tailored program for clients who have experienced trauma (Q.19a),M,Missing
SRVC116,Facility has a tailored program for clients who have experienced trauma (Q.19a),0,No
SRVC116,Facility has a tailored program for clients who have experienced trauma (Q.19a),1,Yes
SRVC35,Facility has a tailored program for other types of clients (Q.19a),0,No
SRVC35,Facility has a tailored program for other types of clients (Q.19a),1,Yes
CTYPE4,Facility offers any hospital inpatient substance use service (Q.9),0,No
CTYPE4,Facility offers any hospital inpatient substance use service (Q.9),1,Yes
CTYPEHI1,Facility offers hospital inpatient detoxification (Q.9a),.,Logical skip
CTYPEHI1,Facility offers hospital inpatient detoxification (Q.9a),0,No
CTYPEHI1,Facility offers hospital inpatient detoxification (Q.9a),1,Yes
CTYPEHI2,Facility offers hospital inpatient treatment services (Q.9a),.,Logical skip
CTYPEHI2,Facility offers hospital inpatient treatment services (Q.9a),0,No
CTYPEHI2,Facility offers hospital inpatient treatment services (Q.9a),1,Yes
CTYPE7,Facility offers non-hospital residential treatment services (Q.10),0,No
CTYPE7,Facility offers non-hospital residential treatment services (Q.10),1,Yes
CTYPERC1,Facility offers non-hospital residential detoxification (Q.10a),.,Logical skip
CTYPERC1,Facility offers non-hospital residential detoxification (Q.10a),0,No
CTYPERC1,Facility offers non-hospital residential detoxification (Q.10a),1,Yes
