Question_Code,Short_description,Answer_code,Answer_meaning,Long_description
FOCUS,Primary treatment focus (Q.1),3,Mix mental health & substance use treatment services,
FOCUS,Primary treatment focus (Q.1),4,No mental health or substance use treatment services,
FOCUS,Primary treatment focus (Q.1),M,Missing Data,
SUTRTMNTALSO,Offered substance use treatment also (Q.1a),0,No,
SUTRTMNTALSO,Offered substance use treatment also (Q.1a),1,Yes,
SUTRTMNTALSO,Offered substance use treatment also (Q.1a),L,Logical Skip,
SUTRTMNTALSO,Offered substance use treatment also (Q.1a),M,Missing Data,
JAIL,"Jail, prison, or other (Q.2)",0,No,
JAIL,"Jail, prison, or other (Q.2)",L,Logical Skip,
JAIL,"Jail, prison, or other (Q.2)",M,Missing Data,
OTHNONTX,Offered intake/assessment/referral (Q.A1),0,No,
OTHNONTX,Offered intake/assessment/referral (Q.A1),1,Yes,
OTHNONTX,Offered intake/assessment/referral (Q.A1),L,Logical Skip,
OTHNONTX,Offered intake/assessment/referral (Q.A1),M,Missing Data,
DETOX,Offered detoxification (Q.A1),0,No,
DETOX,Offered detoxification (Q.A1),1,Yes,
DETOX,Offered detoxification (Q.A1),L,Logical Skip,
DETOX,Offered detoxification (Q.A1),M,Missing Data,
TREATMT_SU,Offered substance use treatment (Q.A1),0,No,
TREATMT_SU,Offered substance use treatment (Q.A1),1,Yes,
TREATMT_SU,Offered substance use treatment (Q.A1),L,Logical Skip,
TREATMT_SU,Offered substance use treatment (Q.A1),M,Missing Data,
SMISEDSUD_SU,Offered co-occurring serious mental illness (SMI)/serious emotional disturbance (SED),0,No,
SMISEDSUD_SU,Offered co-occurring serious mental illness (SMI)/serious emotional disturbance (SED),1,Yes,
SMISEDSUD_SU,Offered co-occurring serious mental illness (SMI)/serious emotional disturbance (SED),L,Logical Skip,
SMISEDSUD_SU,Offered co-occurring serious mental illness (SMI)/serious emotional disturbance (SED),M,Missing Data,
ADMIN,Any other substance use services offered (Q.A1),0,No,
ADMIN,Any other substance use services offered (Q.A1),1,Yes,
ADMIN,Any other substance use services offered (Q.A1),L,Logical Skip,
ADMIN,Any other substance use services offered (Q.A1),M,Missing Data,
MHTXSA,Offers mental health treatment to substance use clients (Q.A1a),0,No,
MHTXSA,Offers mental health treatment to substance use clients (Q.A1a),1,Yes,
MHTXSA,Offers mental health treatment to substance use clients (Q.A1a),L,Logical Skip,
MHTXSA,Offers mental health treatment to substance use clients (Q.A1a),M,Missing Data,
MHTXNONSA,Offers mental health treatment to non-substance use clients (Q.A1a),0,No,
MHTXNONSA,Offers mental health treatment to non-substance use clients (Q.A1a),1,Yes,
MHTXNONSA,Offers mental health treatment to non-substance use clients (Q.A1a),L,Logical Skip,
MHTXNONSA,Offers mental health treatment to non-substance use clients (Q.A1a),M,Missing Data,
NOMHTX,Offers no mental health treatment (Q.A1a),0,No,
NOMHTX,Offers no mental health treatment (Q.A1a),1,Yes,
NOMHTX,Offers no mental health treatment (Q.A1a),L,Logical Skip,
NOMHTX,Offers no mental health treatment (Q.A1a),M,Missing Data,
DETXALC,Detoxify from alcohol (Q.A2),0,No,
DETXALC,Detoxify from alcohol (Q.A2),1,Yes,
DETXALC,Detoxify from alcohol (Q.A2),L,Logical Skip,
DETXALC,Detoxify from alcohol (Q.A2),M,Missing Data,
DETXBEN,Detoxify from benzodiazepines (Q.A2),0,No,
DETXBEN,Detoxify from benzodiazepines (Q.A2),1,Yes,
DETXBEN,Detoxify from benzodiazepines (Q.A2),L,Logical Skip,
DETXBEN,Detoxify from benzodiazepines (Q.A2),M,Missing Data,
DETXCOC,Detoxify from cocaine (Q.A2),0,No,
DETXCOC,Detoxify from cocaine (Q.A2),1,Yes,
DETXCOC,Detoxify from cocaine (Q.A2),L,Logical Skip,
DETXCOC,Detoxify from cocaine (Q.A2),M,Missing Data,
DETXMET,Detoxify from methamphetamines (Q.A2),0,No,
DETXMET,Detoxify from methamphetamines (Q.A2),1,Yes,
DETXMET,Detoxify from methamphetamines (Q.A2),L,Logical Skip,
DETXMET,Detoxify from methamphetamines (Q.A2),M,Missing Data,
DETXOP,Detoxify from opioids (Q.A2),0,No,
DETXOP,Detoxify from opioids (Q.A2),1,Yes,
DETXOP,Detoxify from opioids (Q.A2),L,Logical Skip,
DETXOP,Detoxify from opioids (Q.A2),M,Missing Data,
DETXOTH,Detoxify from other substances (Q.A2),0,No,
DETXOTH,Detoxify from other substances (Q.A2),1,Yes,
DETXOTH,Detoxify from other substances (Q.A2),L,Logical Skip,
DETXOTH,Detoxify from other substances (Q.A2),M,Missing Data,
DETXMED,Routinely uses detoxification with medications (Q.A2a),0,No,
DETXMED,Routinely uses detoxification with medications (Q.A2a),1,Yes,
DETXMED,Routinely uses detoxification with medications (Q.A2a),L,Logical Skip,
DETXMED,Routinely uses detoxification with medications (Q.A2a),M,Missing Data,
LOC15_SU,Solo practice (Q.A3),0,No,
LOC15_SU,Solo practice (Q.A3),1,Yes,
LOC15_SU,Solo practice (Q.A3),L,Logical Skip,
LOC15_SU,Solo practice (Q.A3),M,Missing Data,
CTYPE4,Hospital inpatient substance use care offered currently (Q.A4),0,No,
CTYPE4,Hospital inpatient substance use care offered currently (Q.A4),1,Yes,
CTYPE4,Hospital inpatient substance use care offered currently (Q.A4),L,Logical Skip,
CTYPE4,Hospital inpatient substance use care offered currently (Q.A4),M,Missing Data,
CTYPEHI1,Hospital inpatient detoxification care offered (Q.A4a),0,No,
CTYPEHI1,Hospital inpatient detoxification care offered (Q.A4a),1,Yes,
CTYPEHI1,Hospital inpatient detoxification care offered (Q.A4a),L,Logical Skip,
CTYPEHI1,Hospital inpatient detoxification care offered (Q.A4a),M,Missing Data,
CTYPEHI2,Hospital inpatient treatment care offered (Q.A4a),0,No,
CTYPEHI2,Hospital inpatient treatment care offered (Q.A4a),1,Yes,
CTYPEHI2,Hospital inpatient treatment care offered (Q.A4a),L,Logical Skip,
CTYPEHI2,Hospital inpatient treatment care offered (Q.A4a),M,Missing Data,
CTYPE7,Non-hospital residential substance use care offered currently (Q.A5),0,No,
CTYPE7,Non-hospital residential substance use care offered currently (Q.A5),1,Yes,
CTYPE7,Non-hospital residential substance use care offered currently (Q.A5),L,Logical Skip,
CTYPE7,Non-hospital residential substance use care offered currently (Q.A5),M,Missing Data,
CTYPERC1,Non-hospital residential detoxification care offered (Q.A5a),0,No,
CTYPERC1,Non-hospital residential detoxification care offered (Q.A5a),1,Yes,
CTYPERC1,Non-hospital residential detoxification care offered (Q.A5a),L,Logical Skip,
CTYPERC1,Non-hospital residential detoxification care offered (Q.A5a),M,Missing Data,
CTYPERC3,Non-hospital residential short-term treatment offered (Q.A5a),0,No,
CTYPERC3,Non-hospital residential short-term treatment offered (Q.A5a),1,Yes,
CTYPERC3,Non-hospital residential short-term treatment offered (Q.A5a),L,Logical Skip,
CTYPERC3,Non-hospital residential short-term treatment offered (Q.A5a),M,Missing Data,
CTYPERC4,Non-hospital residential long-term treatment offered (Q.A5a),0,No,
CTYPERC4,Non-hospital residential long-term treatment offered (Q.A5a),1,Yes,
CTYPERC4,Non-hospital residential long-term treatment offered (Q.A5a),L,Logical Skip,
CTYPERC4,Non-hospital residential long-term treatment offered (Q.A5a),M,Missing Data,
CTYPE1,Any outpatient substance use care offered currently (Q.A6),0,No,
CTYPE1,Any outpatient substance use care offered currently (Q.A6),1,Yes,
CTYPE1,Any outpatient substance use care offered currently (Q.A6),L,Logical Skip,
CTYPE1,Any outpatient substance use care offered currently (Q.A6),M,Missing Data,
CTYPE6,Outpatient detoxification offered (Q.A6a),0,No,
CTYPE6,Outpatient detoxification offered (Q.A6a),1,Yes,
CTYPE6,Outpatient detoxification offered (Q.A6a),L,Logical Skip,
CTYPE6,Outpatient detoxification offered (Q.A6a),M,Missing Data,
CTYPEML,Outpatient methadone maintenance offered (Q.A6a),0,No,
CTYPEML,Outpatient methadone maintenance offered (Q.A6a),1,Yes,
CTYPEML,Outpatient methadone maintenance offered (Q.A6a),L,Logical Skip,
CTYPEML,Outpatient methadone maintenance offered (Q.A6a),M,Missing Data,
CTYPEOP,Day treatment/partial hospitalization offered (Q.A6a),0,No,
CTYPEOP,Day treatment/partial hospitalization offered (Q.A6a),1,Yes,
CTYPEOP,Day treatment/partial hospitalization offered (Q.A6a),L,Logical Skip,
CTYPEOP,Day treatment/partial hospitalization offered (Q.A6a),M,Missing Data,
CTYPE2,Intensive outpatient treatment offered (Q.A6a),0,No,
CTYPE2,Intensive outpatient treatment offered (Q.A6a),1,Yes,
CTYPE2,Intensive outpatient treatment offered (Q.A6a),L,Logical Skip,
CTYPE2,Intensive outpatient treatment offered (Q.A6a),M,Missing Data,
CTYPE3,Regular outpatient treatment offered (Q.A6a),0,No,
CTYPE3,Regular outpatient treatment offered (Q.A6a),1,Yes,
CTYPE3,Regular outpatient treatment offered (Q.A6a),L,Logical Skip,
CTYPE3,Regular outpatient treatment offered (Q.A6a),M,Missing Data,
SRVC89,Assessment screening substance use (Q.A7),0,No,
SRVC89,Assessment screening substance use (Q.A7),1,Yes,
SRVC89,Assessment screening substance use (Q.A7),L,Logical Skip,
SRVC89,Assessment screening substance use (Q.A7),M,Missing Data,
SRVC90,Assessment screening mental disorders (Q.A7),0,No,
SRVC90,Assessment screening mental disorders (Q.A7),1,Yes,
SRVC90,Assessment screening mental disorders (Q.A7),L,Logical Skip,
SRVC90,Assessment screening mental disorders (Q.A7),M,Missing Data,
SRVC1,Assessment comprehensive substance use (Q.A7),0,No,
SRVC1,Assessment comprehensive substance use (Q.A7),1,Yes,
SRVC1,Assessment comprehensive substance use (Q.A7),L,Logical Skip,
SRVC1,Assessment comprehensive substance use (Q.A7),M,Missing Data,
SRVC2,Assessment mental health (Q.A7),0,No,
SRVC2,Assessment mental health (Q.A7),1,Yes,
SRVC2,Assessment mental health (Q.A7),L,Logical Skip,
SRVC2,Assessment mental health (Q.A7),M,Missing Data,
SRVCCOMPEXAM,Complete medical history and physical examination done (Q.A7),0,No,
SRVCCOMPEXAM,Complete medical history and physical examination done (Q.A7),1,Yes,
SRVCCOMPEXAM,Complete medical history and physical examination done (Q.A7),L,Logical Skip,
SRVCCOMPEXAM,Complete medical history and physical examination done (Q.A7),M,Missing Data,
SRVC107,Assessment screening tobacco use (Q.A7),0,No,
SRVC107,Assessment screening tobacco use (Q.A7),1,Yes,
SRVC107,Assessment screening tobacco use (Q.A7),L,Logical Skip,
SRVC107,Assessment screening tobacco use (Q.A7),M,Missing Data,
SRVC91,Assessment outreach (Q.A7),0,No,
SRVC91,Assessment outreach (Q.A7),1,Yes,
SRVC91,Assessment outreach (Q.A7),L,Logical Skip,
SRVC91,Assessment outreach (Q.A7),M,Missing Data,
SRVC93,Assessment interim services (Q.A7),0,No,
SRVC93,Assessment interim services (Q.A7),1,Yes,
SRVC93,Assessment interim services (Q.A7),L,Logical Skip,
SRVC93,Assessment interim services (Q.A7),M,Missing Data,
SRVCEDCON,Assessment professional consultant (Q.A7),0,No,
SRVCEDCON,Assessment professional consultant (Q.A7),1,Yes,
SRVCEDCON,Assessment professional consultant (Q.A7),L,Logical Skip,
SRVCEDCON,Assessment professional consultant (Q.A7),M,Missing Data,
NOPRETXSRVC,None of the above assessment or pretreatment services (Q.A7),0,No,
NOPRETXSRVC,None of the above assessment or pretreatment services (Q.A7),1,Yes,
NOPRETXSRVC,None of the above assessment or pretreatment services (Q.A7),L,Logical Skip,
NOPRETXSRVC,None of the above assessment or pretreatment services (Q.A7),M,Missing Data,
SRVCORAL,Testing drug/alcohol oral fluid (Q.A7),0,No,
SRVCORAL,Testing drug/alcohol oral fluid (Q.A7),1,Yes,
SRVCORAL,Testing drug/alcohol oral fluid (Q.A7),L,Logical Skip,
SRVCORAL,Testing drug/alcohol oral fluid (Q.A7),M,Missing Data,
SRVC10,Testing blood/alcohol (Q.A7),0,No,
SRVC10,Testing blood/alcohol (Q.A7),1,Yes,
SRVC10,Testing blood/alcohol (Q.A7),L,Logical Skip,
SRVC10,Testing blood/alcohol (Q.A7),M,Missing Data,
SRVC11,Testing drug/alcohol urine screen (Q.A7),0,No,
SRVC11,Testing drug/alcohol urine screen (Q.A7),1,Yes,
SRVC11,Testing drug/alcohol urine screen (Q.A7),L,Logical Skip,
SRVC11,Testing drug/alcohol urine screen (Q.A7),M,Missing Data,
SRVC73,Testing Hepatitis B (HBV) (Q.A7),0,No,
SRVC73,Testing Hepatitis B (HBV) (Q.A7),1,Yes,
SRVC73,Testing Hepatitis B (HBV) (Q.A7),L,Logical Skip,
SRVC73,Testing Hepatitis B (HBV) (Q.A7),M,Missing Data,
SRVC74,Testing Hepatitis C (HCV) (Q.A7),0,No,
SRVC74,Testing Hepatitis C (HCV) (Q.A7),1,Yes,
SRVC74,Testing Hepatitis C (HCV) (Q.A7),L,Logical Skip,
SRVC74,Testing Hepatitis C (HCV) (Q.A7),M,Missing Data,
SRVC14,Testing HIV (Q.A7),0,No,
SRVC14,Testing HIV (Q.A7),1,Yes,
SRVC14,Testing HIV (Q.A7),L,Logical Skip,
SRVC14,Testing HIV (Q.A7),M,Missing Data,
SRVC15,Testing sexually transmitted disease (STD) (Q.A7),0,No,
SRVC15,Testing sexually transmitted disease (STD) (Q.A7),1,Yes,
SRVC15,Testing sexually transmitted disease (STD) (Q.A7),L,Logical Skip,
SRVC15,Testing sexually transmitted disease (STD) (Q.A7),M,Missing Data,
SRVC16,Testing tuberculosis (TB) screen (Q.A7),0,No,
SRVC16,Testing tuberculosis (TB) screen (Q.A7),1,Yes,
SRVC16,Testing tuberculosis (TB) screen (Q.A7),L,Logical Skip,
SRVC16,Testing tuberculosis (TB) screen (Q.A7),M,Missing Data,
SRVCMETA,Testing metabolic syndrome (Q.A7),0,No,
SRVCMETA,Testing metabolic syndrome (Q.A7),1,Yes,
SRVCMETA,Testing metabolic syndrome (Q.A7),L,Logical Skip,
SRVCMETA,Testing metabolic syndrome (Q.A7),M,Missing Data,
NOTESTINGSRVC,None of the above testing services (Q.A7),0,No,
NOTESTINGSRVC,None of the above testing services (Q.A7),1,Yes,
NOTESTINGSRVC,None of the above testing services (Q.A7),L,Logical Skip,
NOTESTINGSRVC,None of the above testing services (Q.A7),M,Missing Data,
SRVCHAV,Medical Hepatitis A (Q.A7),0,No,
SRVCHAV,Medical Hepatitis A (Q.A7),1,Yes,
SRVCHAV,Medical Hepatitis A (Q.A7),L,Logical Skip,
SRVCHAV,Medical Hepatitis A (Q.A7),M,Missing Data,
SRVCHBV,Medical Hepatitis B (Q.A7),0,No,
SRVCHBV,Medical Hepatitis B (Q.A7),1,Yes,
SRVCHBV,Medical Hepatitis B (Q.A7),L,Logical Skip,
SRVCHBV,Medical Hepatitis B (Q.A7),M,Missing Data,
NOMEDSRVC,None of the above medical services (Q.A7),0,No,
NOMEDSRVC,None of the above medical services (Q.A7),1,Yes,
NOMEDSRVC,None of the above medical services (Q.A7),L,Logical Skip,
NOMEDSRVC,None of the above medical services (Q.A7),M,Missing Data,
SRVC37,Transitional discharge plan (Q.A7),0,No,
SRVC37,Transitional discharge plan (Q.A7),1,Yes,
SRVC37,Transitional discharge plan (Q.A7),L,Logical Skip,
SRVC37,Transitional discharge plan (Q.A7),M,Missing Data,
SRVC27,Transitional aftercare (Q.A7),0,No,
SRVC27,Transitional aftercare (Q.A7),1,Yes,
SRVC27,Transitional aftercare (Q.A7),L,Logical Skip,
SRVC27,Transitional aftercare (Q.A7),M,Missing Data,
SRVCODED,Transitional naloxone and overdose education (Q.A7),0,No,
SRVCODED,Transitional naloxone and overdose education (Q.A7),1,Yes,
SRVCODED,Transitional naloxone and overdose education (Q.A7),L,Logical Skip,
SRVCODED,Transitional naloxone and overdose education (Q.A7),M,Missing Data,
SRVCOUTCM,Transitional outcome follow-up after discharge (Q.A7),0,No,
SRVCOUTCM,Transitional outcome follow-up after discharge (Q.A7),1,Yes,
SRVCOUTCM,Transitional outcome follow-up after discharge (Q.A7),L,Logical Skip,
SRVCOUTCM,Transitional outcome follow-up after discharge (Q.A7),M,Missing Data,
NOTRANSSRVC,None of the above transitional services (Q.A7),0,No,
NOTRANSSRVC,None of the above transitional services (Q.A7),1,Yes,
NOTRANSSRVC,None of the above transitional services (Q.A7),L,Logical Skip,
NOTRANSSRVC,None of the above transitional services (Q.A7),M,Missing Data,
SRVC97,Recovery mentoring/peer support (Q.A7),0,No,
SRVC97,Recovery mentoring/peer support (Q.A7),1,Yes,
SRVC97,Recovery mentoring/peer support (Q.A7),L,Logical Skip,
SRVC97,Recovery mentoring/peer support (Q.A7),M,Missing Data,
SRVC102,Recovery self-help groups (Q.A7),0,No,
SRVC102,Recovery self-help groups (Q.A7),1,Yes,
SRVC102,Recovery self-help groups (Q.A7),L,Logical Skip,
SRVC102,Recovery self-help groups (Q.A7),M,Missing Data,
SRVC39,Recovery housing assist (Q.A7),0,No,
SRVC39,Recovery housing assist (Q.A7),1,Yes,
SRVC39,Recovery housing assist (Q.A7),L,Logical Skip,
SRVC39,Recovery housing assist (Q.A7),M,Missing Data,
SRVC38,Recovery employment (Q.A7),0,No,
SRVC38,Recovery employment (Q.A7),1,Yes,
SRVC38,Recovery employment (Q.A7),L,Logical Skip,
SRVC38,Recovery employment (Q.A7),M,Missing Data,
SRVC36,Recovery assistance social services (Q.A7),0,No,
SRVC36,Recovery assistance social services (Q.A7),1,Yes,
SRVC36,Recovery assistance social services (Q.A7),L,Logical Skip,
SRVC36,Recovery assistance social services (Q.A7),M,Missing Data,
SRVCCOACH,Recovery coach (Q.A7),0,No,
SRVCCOACH,Recovery coach (Q.A7),1,Yes,
SRVCCOACH,Recovery coach (Q.A7),L,Logical Skip,
SRVCCOACH,Recovery coach (Q.A7),M,Missing Data,
NORSSRVC,None of the above recovery support services (Q.A7),0,No,
NORSSRVC,None of the above recovery support services (Q.A7),1,Yes,
NORSSRVC,None of the above recovery support services (Q.A7),L,Logical Skip,
NORSSRVC,None of the above recovery support services (Q.A7),M,Missing Data,
SRVC24,Education and counseling HIV/AIDS education (Q.A7),0,No,
SRVC24,Education and counseling HIV/AIDS education (Q.A7),1,Yes,
SRVC24,Education and counseling HIV/AIDS education (Q.A7),L,Logical Skip,
SRVC24,Education and counseling HIV/AIDS education (Q.A7),M,Missing Data,
SRVC104,Education and counseling Hepatitis education (Q.A7),0,No,
SRVC104,Education and counseling Hepatitis education (Q.A7),1,Yes,
SRVC104,Education and counseling Hepatitis education (Q.A7),L,Logical Skip,
SRVC104,Education and counseling Hepatitis education (Q.A7),M,Missing Data,
SRVC99,Education and counseling health education (Q.A7),0,No,
SRVC99,Education and counseling health education (Q.A7),1,Yes,
SRVC99,Education and counseling health education (Q.A7),L,Logical Skip,
SRVC99,Education and counseling health education (Q.A7),M,Missing Data,
SRVC100,Education and counseling substance use education (Q.A7),0,No,
SRVC100,Education and counseling substance use education (Q.A7),1,Yes,
SRVC100,Education and counseling substance use education (Q.A7),L,Logical Skip,
SRVC100,Education and counseling substance use education (Q.A7),M,Missing Data,
SRVC105,Education and counseling smoking/tobacco cessation (Q.A7),0,No,
SRVC105,Education and counseling smoking/tobacco cessation (Q.A7),1,Yes,
SRVC105,Education and counseling smoking/tobacco cessation (Q.A7),L,Logical Skip,
SRVC105,Education and counseling smoking/tobacco cessation (Q.A7),M,Missing Data,
SRVC6,Education and counseling individual (Q.A7),0,No,
SRVC6,Education and counseling individual (Q.A7),1,Yes,
SRVC6,Education and counseling individual (Q.A7),L,Logical Skip,
SRVC6,Education and counseling individual (Q.A7),M,Missing Data,
SRVC5,Education and counseling group (Q.A7),0,No,
SRVC5,Education and counseling group (Q.A7),1,Yes,
SRVC5,Education and counseling group (Q.A7),L,Logical Skip,
SRVC5,Education and counseling group (Q.A7),M,Missing Data,
SRVC4,Education and counseling family (Q.A7),0,No,
SRVC4,Education and counseling family (Q.A7),1,Yes,
SRVC4,Education and counseling family (Q.A7),L,Logical Skip,
SRVC4,Education and counseling family (Q.A7),M,Missing Data,
SRVC103,Education and counseling marital/couples (Q.A7),0,No,
SRVC103,Education and counseling marital/couples (Q.A7),1,Yes,
SRVC103,Education and counseling marital/couples (Q.A7),L,Logical Skip,
SRVC103,Education and counseling marital/couples (Q.A7),M,Missing Data,
SRVCVOCED,Education and counseling vocational (Q.A7),0,No,
SRVCVOCED,Education and counseling vocational (Q.A7),1,Yes,
SRVCVOCED,Education and counseling vocational (Q.A7),L,Logical Skip,
SRVCVOCED,Education and counseling vocational (Q.A7),M,Missing Data,
NOEDSRVC,None of the above education and counseling services (Q.A7),0,No,
NOEDSRVC,None of the above education and counseling services (Q.A7),1,Yes,
NOEDSRVC,None of the above education and counseling services (Q.A7),L,Logical Skip,
NOEDSRVC,None of the above education and counseling services (Q.A7),M,Missing Data,
SRVC49,Ancillary services case management (Q.A7),0,No,
SRVC49,Ancillary services case management (Q.A7),1,Yes,
SRVC49,Ancillary services case management (Q.A7),L,Logical Skip,
SRVC49,Ancillary services case management (Q.A7),M,Missing Data,
SRVCPRIMCARE,Ancillary services integrated primary care (Q.A7),0,No,
SRVCPRIMCARE,Ancillary services integrated primary care (Q.A7),1,Yes,
SRVCPRIMCARE,Ancillary services integrated primary care (Q.A7),L,Logical Skip,
SRVCPRIMCARE,Ancillary services integrated primary care (Q.A7),M,Missing Data,
SRVC96,Ancillary social skills (Q.A7),0,No,
SRVC96,Ancillary social skills (Q.A7),1,Yes,
SRVC96,Ancillary social skills (Q.A7),L,Logical Skip,
SRVC96,Ancillary social skills (Q.A7),M,Missing Data,
SRVC50,Ancillary child care (Q.A7),0,No,
SRVC50,Ancillary child care (Q.A7),1,Yes,
SRVC50,Ancillary child care (Q.A7),L,Logical Skip,
SRVC50,Ancillary child care (Q.A7),M,Missing Data,
SRVC52,Ancillary domestic violence (Q.A7),0,No,
SRVC52,Ancillary domestic violence (Q.A7),1,Yes,
SRVC52,Ancillary domestic violence (Q.A7),L,Logical Skip,
SRVC52,Ancillary domestic violence (Q.A7),M,Missing Data,
SRVC98,Ancillary intervention HIV (Q.A7),0,No,
SRVC98,Ancillary intervention HIV (Q.A7),1,Yes,
SRVC98,Ancillary intervention HIV (Q.A7),L,Logical Skip,
SRVC98,Ancillary intervention HIV (Q.A7),M,Missing Data,
SRVC59,Ancillary transportation assistance (Q.A7),0,No,
SRVC59,Ancillary transportation assistance (Q.A7),1,Yes,
SRVC59,Ancillary transportation assistance (Q.A7),L,Logical Skip,
SRVC59,Ancillary transportation assistance (Q.A7),M,Missing Data,
SRVC101,Ancillary mental health services (Q.A7),0,No,
SRVC101,Ancillary mental health services (Q.A7),1,Yes,
SRVC101,Ancillary mental health services (Q.A7),L,Logical Skip,
SRVC101,Ancillary mental health services (Q.A7),M,Missing Data,
SRVCSUICIDEPREV,Ancillary suicide prevention services (Q.A7),0,No,
SRVCSUICIDEPREV,Ancillary suicide prevention services (Q.A7),1,Yes,
SRVCSUICIDEPREV,Ancillary suicide prevention services (Q.A7),L,Logical Skip,
SRVCSUICIDEPREV,Ancillary suicide prevention services (Q.A7),M,Missing Data,
SRVC48,Ancillary acupuncture (Q.A7),0,No,
SRVC48,Ancillary acupuncture (Q.A7),1,Yes,
SRVC48,Ancillary acupuncture (Q.A7),L,Logical Skip,
SRVC48,Ancillary acupuncture (Q.A7),M,Missing Data,
SRVC75,Ancillary residential beds for children (Q.A7),0,No,
SRVC75,Ancillary residential beds for children (Q.A7),1,Yes,
SRVC75,Ancillary residential beds for children (Q.A7),L,Logical Skip,
SRVC75,Ancillary residential beds for children (Q.A7),M,Missing Data,
NOANCSRVC,None of the above ancillary services (Q.A7),0,No,
NOANCSRVC,None of the above ancillary services (Q.A7),1,Yes,
NOANCSRVC,None of the above ancillary services (Q.A7),L,Logical Skip,
NOANCSRVC,None of the above ancillary services (Q.A7),M,Missing Data,
SRVC117,Other gambling disorder (Q.A7),0,No,
SRVC117,Other gambling disorder (Q.A7),1,Yes,
SRVC117,Other gambling disorder (Q.A7),L,Logical Skip,
SRVC117,Other gambling disorder (Q.A7),M,Missing Data,
SRVC119,Other non-substance use addiction disorder (Q.A7),0,No,
SRVC119,Other non-substance use addiction disorder (Q.A7),1,Yes,
SRVC119,Other non-substance use addiction disorder (Q.A7),L,Logical Skip,
SRVC119,Other non-substance use addiction disorder (Q.A7),M,Missing Data,
NOOTHSRVC,None of the above other (Q.A7),0,No,
NOOTHSRVC,None of the above other (Q.A7),1,Yes,
NOOTHSRVC,None of the above other (Q.A7),L,Logical Skip,
NOOTHSRVC,None of the above other (Q.A7),M,Missing Data,
SRVC70,Pharmacotherapies disulfiram (Q.A7),0,No,
SRVC70,Pharmacotherapies disulfiram (Q.A7),1,Yes,
