Question_Code,Short_Description,Long_Description,Answer_code,Answer_meaning
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",2,American Indian (other than Alaska Native)
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",3,Asian or Pacific Islander
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",4,Black or African American
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",5,White
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",6,Asian
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",7,Other single race
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",8,Two or more races
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",9,Native Hawaiian or Other Pacific Islander
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",-9,Missing/unknown/not collected/invalid
ETHNIC,Ethnicity,"This field identifies a client's specific Hispanic or Latino origin, if applicable. • Puerto Rican: Of Puerto Rican origin regardless of race. • Mexican: Of Mexican origin regardless of race. • Cuban: Of Cuban origin regardless of race. • Other specific Hispanic or Latino: Of known Central or South American or any other Spanish culture or origin (including Spain), other than Puerto Rican, Mexican, or Cuban, regardless of race. • Not of Hispanic or Latino origin. • Hispanic, specific origin not specified: Of Hispanic or Latino origin, but origin not known or not specified. Guidelines: If a state does not collect specific Hispanic detail, this field is coded as 5 - Hispanic or Latino, specific origin not specified.",1,Puerto Rican
ETHNIC,Ethnicity,"This field identifies a client's specific Hispanic or Latino origin, if applicable. • Puerto Rican: Of Puerto Rican origin regardless of race. • Mexican: Of Mexican origin regardless of race. • Cuban: Of Cuban origin regardless of race. • Other specific Hispanic or Latino: Of known Central or South American or any other Spanish culture or origin (including Spain), other than Puerto Rican, Mexican, or Cuban, regardless of race. • Not of Hispanic or Latino origin. • Hispanic, specific origin not specified: Of Hispanic or Latino origin, but origin not known or not specified. Guidelines: If a state does not collect specific Hispanic detail, this field is coded as 5 - Hispanic or Latino, specific origin not specified.",2,Mexican
ETHNIC,Ethnicity,"This field identifies a client's specific Hispanic or Latino origin, if applicable. • Puerto Rican: Of Puerto Rican origin regardless of race. • Mexican: Of Mexican origin regardless of race. • Cuban: Of Cuban origin regardless of race. • Other specific Hispanic or Latino: Of known Central or South American or any other Spanish culture or origin (including Spain), other than Puerto Rican, Mexican, or Cuban, regardless of race. • Not of Hispanic or Latino origin. • Hispanic, specific origin not specified: Of Hispanic or Latino origin, but origin not known or not specified. Guidelines: If a state does not collect specific Hispanic detail, this field is coded as 5 - Hispanic or Latino, specific origin not specified.",3,Cuban or other specific Hispanic
ETHNIC,Ethnicity,"This field identifies a client's specific Hispanic or Latino origin, if applicable. • Puerto Rican: Of Puerto Rican origin regardless of race. • Mexican: Of Mexican origin regardless of race. • Cuban: Of Cuban origin regardless of race. • Other specific Hispanic or Latino: Of known Central or South American or any other Spanish culture or origin (including Spain), other than Puerto Rican, Mexican, or Cuban, regardless of race. • Not of Hispanic or Latino origin. • Hispanic, specific origin not specified: Of Hispanic or Latino origin, but origin not known or not specified. Guidelines: If a state does not collect specific Hispanic detail, this field is coded as 5 - Hispanic or Latino, specific origin not specified.",4,Not of Hispanic or Latino origin
ETHNIC,Ethnicity,"This field identifies a client's specific Hispanic or Latino origin, if applicable. • Puerto Rican: Of Puerto Rican origin regardless of race. • Mexican: Of Mexican origin regardless of race. • Cuban: Of Cuban origin regardless of race. • Other specific Hispanic or Latino: Of known Central or South American or any other Spanish culture or origin (including Spain), other than Puerto Rican, Mexican, or Cuban, regardless of race. • Not of Hispanic or Latino origin. • Hispanic, specific origin not specified: Of Hispanic or Latino origin, but origin not known or not specified. Guidelines: If a state does not collect specific Hispanic detail, this field is coded as 5 - Hispanic or Latino, specific origin not specified.",5,"Hispanic or Latino, specific origin not specified"
ETHNIC,Ethnicity,"This field identifies a client's specific Hispanic or Latino origin, if applicable. • Puerto Rican: Of Puerto Rican origin regardless of race. • Mexican: Of Mexican origin regardless of race. • Cuban: Of Cuban origin regardless of race. • Other specific Hispanic or Latino: Of known Central or South American or any other Spanish culture or origin (including Spain), other than Puerto Rican, Mexican, or Cuban, regardless of race. • Not of Hispanic or Latino origin. • Hispanic, specific origin not specified: Of Hispanic or Latino origin, but origin not known or not specified. Guidelines: If a state does not collect specific Hispanic detail, this field is coded as 5 - Hispanic or Latino, specific origin not specified.",-9,Missing/unknown/not collected/invalid
MARSTAT,Marital status,"T his field describes the client's marital status. The following categories are compatible with categories used in the U.S.Census. • Never married: Includes clients who are single or whose only marriage was annulled. • Now married: Includes married couples, those living together as married, living with partners, or cohabiting. • Separated: Includes those legally separated or otherwise absent from spouse because of marital discord. • Divorced, widowed.",1,Never married
MARSTAT,Marital status,"T his field describes the client's marital status. The following categories are compatible with categories used in the U.S.Census. • Never married: Includes clients who are single or whose only marriage was annulled. • Now married: Includes married couples, those living together as married, living with partners, or cohabiting. • Separated: Includes those legally separated or otherwise absent from spouse because of marital discord. • Divorced, widowed.",2,Now married
MARSTAT,Marital status,"T his field describes the client's marital status. The following categories are compatible with categories used in the U.S.Census. • Never married: Includes clients who are single or whose only marriage was annulled. • Now married: Includes married couples, those living together as married, living with partners, or cohabiting. • Separated: Includes those legally separated or otherwise absent from spouse because of marital discord. • Divorced, widowed.",3,Separated
MARSTAT,Marital status,"T his field describes the client's marital status. The following categories are compatible with categories used in the U.S.Census. • Never married: Includes clients who are single or whose only marriage was annulled. • Now married: Includes married couples, those living together as married, living with partners, or cohabiting. • Separated: Includes those legally separated or otherwise absent from spouse because of marital discord. • Divorced, widowed.",4,"Divorced, widowed"
MARSTAT,Marital status,"T his field describes the client's marital status. The following categories are compatible with categories used in the U.S.Census. • Never married: Includes clients who are single or whose only marriage was annulled. • Now married: Includes married couples, those living together as married, living with partners, or cohabiting. • Separated: Includes those legally separated or otherwise absent from spouse because of marital discord. • Divorced, widowed.",-9,Missing/unknown/not collected/invalid
EDUC,Education at admission,"This  field  specifies  a)  the  highest  school  grade  completed for  adults  or  children  not  attending  school  at admission or b)  current  school grade for  school-age  children  (3-17  years  old)  attending  school at admission. Guidelines:  States that  use  specific categories for  designating  education level should  map  their  categories to  a  logical number  of  years of  school completed.  The  mapping  should  be  recorded  in the  state  crosswalk.  For  example,  a  state category of  'associate's degree' would  be  mapped  to  4;  'bachelor's degree' would  be  mapped  to  5,  etc.",1,"Less than one school grade, no schooling, nursery school, or"
EDUC,Education at admission,"This  field  specifies  a)  the  highest  school  grade  completed for  adults  or  children  not  attending  school  at admission or b)  current  school grade for  school-age  children  (3-17  years  old)  attending  school at admission. Guidelines:  States that  use  specific categories for  designating  education level should  map  their  categories to  a  logical number  of  years of  school completed.  The  mapping  should  be  recorded  in the  state  crosswalk.  For  example,  a  state category of  'associate's degree' would  be  mapped  to  4;  'bachelor's degree' would  be  mapped  to  5,  etc.",2,Grades 9 to 11
EDUC,Education at admission,"This  field  specifies  a)  the  highest  school  grade  completed for  adults  or  children  not  attending  school  at admission or b)  current  school grade for  school-age  children  (3-17  years  old)  attending  school at admission. Guidelines:  States that  use  specific categories for  designating  education level should  map  their  categories to  a  logical number  of  years of  school completed.  The  mapping  should  be  recorded  in the  state  crosswalk.  For  example,  a  state category of  'associate's degree' would  be  mapped  to  4;  'bachelor's degree' would  be  mapped  to  5,  etc.",3,Grade 12 (or GED)
EDUC,Education at admission,"This  field  specifies  a)  the  highest  school  grade  completed for  adults  or  children  not  attending  school  at admission or b)  current  school grade for  school-age  children  (3-17  years  old)  attending  school at admission. Guidelines:  States that  use  specific categories for  designating  education level should  map  their  categories to  a  logical number  of  years of  school completed.  The  mapping  should  be  recorded  in the  state  crosswalk.  For  example,  a  state category of  'associate's degree' would  be  mapped  to  4;  'bachelor's degree' would  be  mapped  to  5,  etc.",4,"1-3 years of college, university, or vocational school"
EDUC,Education at admission,"This  field  specifies  a)  the  highest  school  grade  completed for  adults  or  children  not  attending  school  at admission or b)  current  school grade for  school-age  children  (3-17  years  old)  attending  school at admission. Guidelines:  States that  use  specific categories for  designating  education level should  map  their  categories to  a  logical number  of  years of  school completed.  The  mapping  should  be  recorded  in the  state  crosswalk.  For  example,  a  state category of  'associate's degree' would  be  mapped  to  4;  'bachelor's degree' would  be  mapped  to  5,  etc.",5,"4 years of college, university, BA/BS, some postgraduate study, or more"
EDUC,Education at admission,"This  field  specifies  a)  the  highest  school  grade  completed for  adults  or  children  not  attending  school  at admission or b)  current  school grade for  school-age  children  (3-17  years  old)  attending  school at admission. Guidelines:  States that  use  specific categories for  designating  education level should  map  their  categories to  a  logical number  of  years of  school completed.  The  mapping  should  be  recorded  in the  state  crosswalk.  For  example,  a  state category of  'associate's degree' would  be  mapped  to  4;  'bachelor's degree' would  be  mapped  to  5,  etc.",-9,Missing/unknown/not collected/invalid
EMPLOY,Employment status at admission,"T his field identifies the client’s employment status at the time of admission. • Full-time: Working 35 hours or more each week, including active duty members of the uniformed services. • Part-time: Working fewer than 35 hours each week. • Unemployed: Looking for work during the past 30 days or laid off from a job. • Not in labor force: Not looking for work during the past 30 days or a student, homemaker, disabled, retired, or an inmateof an institution. Clients in this category are further defined in Detailed Not in Labor Force. Guidelines: Seasonal workers are coded in this category based on their employment status at the time of admission. For example, if they are employed full time at the time of admission, they are coded as 01. If they are not in the labor force at the time of admission, they are coded 04.",1,Full-time
EMPLOY,Employment status at admission,"T his field identifies the client’s employment status at the time of admission. • Full-time: Working 35 hours or more each week, including active duty members of the uniformed services. • Part-time: Working fewer than 35 hours each week. • Unemployed: Looking for work during the past 30 days or laid off from a job. • Not in labor force: Not looking for work during the past 30 days or a student, homemaker, disabled, retired, or an inmateof an institution. Clients in this category are further defined in Detailed Not in Labor Force. Guidelines: Seasonal workers are coded in this category based on their employment status at the time of admission. For example, if they are employed full time at the time of admission, they are coded as 01. If they are not in the labor force at the time of admission, they are coded 04.",2,Part-time
