Question_Code,Description,Answer_Code,Answer_Meaning
V0030,V0030 - DEMO5a_7: Specify branch(es) served - Item Flag,1,Contained at least one valid response entry
V0030,V0030 - DEMO5a_7: Specify branch(es) served - Item Flag,2,Missing in-universe
V0030,V0030 - DEMO5a_7: Specify branch(es) served - Item Flag,7,Contained a don't know response
V0030,V0030 - DEMO5a_7: Specify branch(es) served - Item Flag,8,Refusal
V0031,V0031 - DEMOA2: Year of entry,-9,Response missing due to CAPI issue
V0031,V0031 - DEMOA2: Year of entry,-8,Skipped
V0031,V0031 - DEMOA2: Year of entry,-2,Refusal
V0031,V0031 - DEMOA2: Year of entry,-1,Don't Know
V0032,V0032 - DEMOA3: Year last discharged,-9,Response missing due to CAPI issue
V0032,V0032 - DEMOA3: Year last discharged,-8,Skipped
V0032,V0032 - DEMOA3: Year last discharged,-2,Refusal
V0032,V0032 - DEMOA3: Year last discharged,-1,Don't Know
V0032,V0032 - DEMOA3: Year last discharged,999,Inmate Has Not Been Discharged / Is Currently Serving
V0033,V0033 - DEMOA4a: Total time served in Armed Forces (Years served),-9,Response missing due to CAPI issue
V0033,V0033 - DEMOA4a: Total time served in Armed Forces (Years served),-8,Skipped
V0033,V0033 - DEMOA4a: Total time served in Armed Forces (Years served),-2,Refusal
V0033,V0033 - DEMOA4a: Total time served in Armed Forces (Years served),-1,Don't Know
V0034,V0034 - DEMOA4b: Total time served in Armed Forces (Months served),-9,Response missing due to CAPI issue
V0034,V0034 - DEMOA4b: Total time served in Armed Forces (Months served),-8,Skipped
V0034,V0034 - DEMOA4b: Total time served in Armed Forces (Months served),-2,Refusal
V0034,V0034 - DEMOA4b: Total time served in Armed Forces (Months served),-1,Don't Know
V0035,V0035 - DEMOA4c: Total time served in Armed Forces (Weeks served),-9,Response missing due to CAPI issue
V0035,V0035 - DEMOA4c: Total time served in Armed Forces (Weeks served),-8,Skipped
V0035,V0035 - DEMOA4c: Total time served in Armed Forces (Weeks served),-2,Refusal
V0035,V0035 - DEMOA4c: Total time served in Armed Forces (Weeks served),-1,Don't Know
V0036,V0036 - DEMOA4d: Total time served in Armed Forces (Days served),-9,Response missing due to CAPI issue
V0036,V0036 - DEMOA4d: Total time served in Armed Forces (Days served),-8,Skipped
V0036,V0036 - DEMOA4d: Total time served in Armed Forces (Days served),-2,Refusal
V0036,V0036 - DEMOA4d: Total time served in Armed Forces (Days served),-1,Don't Know
V0037,V0037 - DEMOA5: Serve in combat/war zone,-9,Response missing due to CAPI issue
V0037,V0037 - DEMOA5: Serve in combat/war zone,-8,Skipped
V0037,V0037 - DEMOA5: Serve in combat/war zone,-2,Refusal
V0037,V0037 - DEMOA5: Serve in combat/war zone,-1,Don't Know
V0037,V0037 - DEMOA5: Serve in combat/war zone,1,Yes
V0037,V0037 - DEMOA5: Serve in combat/war zone,2,No
V0038,V0038 - DEMOA6: See combat in a line/combat unit,-9,Response missing due to CAPI issue
V0038,V0038 - DEMOA6: See combat in a line/combat unit,-8,Skipped
V0038,V0038 - DEMOA6: See combat in a line/combat unit,-2,Refusal
V0038,V0038 - DEMOA6: See combat in a line/combat unit,-1,Don't Know
V0038,V0038 - DEMOA6: See combat in a line/combat unit,1,Yes
V0038,V0038 - DEMOA6: See combat in a line/combat unit,2,No
V0039,V0039 - DEMOA7a: See combat in a line/combat unit in...WWII,-9,Response missing due to CAPI issue
V0039,V0039 - DEMOA7a: See combat in a line/combat unit in...WWII,-8,Skipped
V0039,V0039 - DEMOA7a: See combat in a line/combat unit in...WWII,-2,Refusal
V0039,V0039 - DEMOA7a: See combat in a line/combat unit in...WWII,-1,Don't Know
V0039,V0039 - DEMOA7a: See combat in a line/combat unit in...WWII,1,Yes
V0039,V0039 - DEMOA7a: See combat in a line/combat unit in...WWII,2,No
V0040,V0040 - DEMOA7b: See combat in a line/combat unit in...Korean Conflict,-9,Response missing due to CAPI issue
V0040,V0040 - DEMOA7b: See combat in a line/combat unit in...Korean Conflict,-8,Skipped
V0040,V0040 - DEMOA7b: See combat in a line/combat unit in...Korean Conflict,-2,Refusal
V0040,V0040 - DEMOA7b: See combat in a line/combat unit in...Korean Conflict,-1,Don't Know
V0040,V0040 - DEMOA7b: See combat in a line/combat unit in...Korean Conflict,1,Yes
V0040,V0040 - DEMOA7b: See combat in a line/combat unit in...Korean Conflict,2,No
V0041,V0041 - DEMOA7c: See combat in a line/combat unit in...Vietnam War,-9,Response missing due to CAPI issue
V0041,V0041 - DEMOA7c: See combat in a line/combat unit in...Vietnam War,-8,Skipped
V0041,V0041 - DEMOA7c: See combat in a line/combat unit in...Vietnam War,-2,Refusal
V0041,V0041 - DEMOA7c: See combat in a line/combat unit in...Vietnam War,-1,Don't Know
V0041,V0041 - DEMOA7c: See combat in a line/combat unit in...Vietnam War,1,Yes
V0041,V0041 - DEMOA7c: See combat in a line/combat unit in...Vietnam War,2,No
V0042,V0042 - DEMOA7d: See combat in a line/combat unit in...Persian Gulf War,-9,Response missing due to CAPI issue
V0042,V0042 - DEMOA7d: See combat in a line/combat unit in...Persian Gulf War,-8,Skipped
V0042,V0042 - DEMOA7d: See combat in a line/combat unit in...Persian Gulf War,-2,Refusal
V0042,V0042 - DEMOA7d: See combat in a line/combat unit in...Persian Gulf War,-1,Don't Know
V0042,V0042 - DEMOA7d: See combat in a line/combat unit in...Persian Gulf War,1,Yes
V0042,V0042 - DEMOA7d: See combat in a line/combat unit in...Persian Gulf War,2,No
V0043,V0043 - DEMOA7e: See combat in a line/combat unit in...Afghanistan,-9,Response missing due to CAPI issue
V0043,V0043 - DEMOA7e: See combat in a line/combat unit in...Afghanistan,-8,Skipped
V0043,V0043 - DEMOA7e: See combat in a line/combat unit in...Afghanistan,-2,Refusal
V0043,V0043 - DEMOA7e: See combat in a line/combat unit in...Afghanistan,-1,Don't Know
V0043,V0043 - DEMOA7e: See combat in a line/combat unit in...Afghanistan,1,Yes
V0043,V0043 - DEMOA7e: See combat in a line/combat unit in...Afghanistan,2,No
V0044,V0044 - DEMOA7f: See combat in a line/combat unit in...Iraq,-9,Response missing due to CAPI issue
V0044,V0044 - DEMOA7f: See combat in a line/combat unit in...Iraq,-8,Skipped
V0044,V0044 - DEMOA7f: See combat in a line/combat unit in...Iraq,-2,Refusal
V0044,V0044 - DEMOA7f: See combat in a line/combat unit in...Iraq,-1,Don't Know
V0044,V0044 - DEMOA7f: See combat in a line/combat unit in...Iraq,1,Yes
V0044,V0044 - DEMOA7f: See combat in a line/combat unit in...Iraq,2,No
V0045,V0045 - DEMOA7g: See combat in a line/combat unit in...Some other military operation,-9,Response missing due to CAPI issue
V0045,V0045 - DEMOA7g: See combat in a line/combat unit in...Some other military operation,-8,Skipped
V0045,V0045 - DEMOA7g: See combat in a line/combat unit in...Some other military operation,-2,Refusal
V0045,V0045 - DEMOA7g: See combat in a line/combat unit in...Some other military operation,-1,Don't Know
V0045,V0045 - DEMOA7g: See combat in a line/combat unit in...Some other military operation,1,Yes
V0045,V0045 - DEMOA7g: See combat in a line/combat unit in...Some other military operation,2,No
V0046,V0046 - DEMOA8: Exposed to the dead/dying/wounded while serving?,-9,Response missing due to CAPI issue
V0046,V0046 - DEMOA8: Exposed to the dead/dying/wounded while serving?,-8,Skipped
V0046,V0046 - DEMOA8: Exposed to the dead/dying/wounded while serving?,-2,Refusal
V0046,V0046 - DEMOA8: Exposed to the dead/dying/wounded while serving?,-1,Don't Know
V0046,V0046 - DEMOA8: Exposed to the dead/dying/wounded while serving?,1,Yes
V0046,V0046 - DEMOA8: Exposed to the dead/dying/wounded while serving?,2,No
V0047,V0047 - DEMOA9: Ever been a POW?,-9,Response missing due to CAPI issue
V0047,V0047 - DEMOA9: Ever been a POW?,-8,Skipped
V0047,V0047 - DEMOA9: Ever been a POW?,-2,Refusal
V0047,V0047 - DEMOA9: Ever been a POW?,-1,Don't Know
V0047,V0047 - DEMOA9: Ever been a POW?,1,Yes
V0047,V0047 - DEMOA9: Ever been a POW?,2,No
V0048,V0048 - DEMOA10: Exposed to environmental hazards while serving?,-9,Response missing due to CAPI issue
V0048,V0048 - DEMOA10: Exposed to environmental hazards while serving?,-8,Skipped
V0048,V0048 - DEMOA10: Exposed to environmental hazards while serving?,-2,Refusal
V0048,V0048 - DEMOA10: Exposed to environmental hazards while serving?,-1,Don't Know
V0048,V0048 - DEMOA10: Exposed to environmental hazards while serving?,1,Yes
V0048,V0048 - DEMOA10: Exposed to environmental hazards while serving?,2,No
V0049,V0049 - DEMOA11: Injury due to training/combat,-9,Response missing due to CAPI issue
V0049,V0049 - DEMOA11: Injury due to training/combat,-8,Skipped
V0049,V0049 - DEMOA11: Injury due to training/combat,-2,Refusal
V0049,V0049 - DEMOA11: Injury due to training/combat,-1,Don't Know
V0049,V0049 - DEMOA11: Injury due to training/combat,1,Yes
V0049,V0049 - DEMOA11: Injury due to training/combat,2,No
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",-9,Response missing due to CAPI issue
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",-8,Skipped
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",-2,Refusal
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",-1,Don't Know
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",1,Honorable
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",2,General under Honorable Conditions
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",3,General without Honorable Conditions
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",4,Other than Honorable
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",5,Bad Conduct
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",6,Dishonorable
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)",7,Some other type of discharge
V0051,"V0051 - DEMOA13: Type of discharge if DEMOA12 was ""other""",-9,Response missing due to CAPI issue
V0051,"V0051 - DEMOA13: Type of discharge if DEMOA12 was ""other""",-8,Skipped
V0051,"V0051 - DEMOA13: Type of discharge if DEMOA12 was ""other""",-2,Refusal
V0051,"V0051 - DEMOA13: Type of discharge if DEMOA12 was ""other""",-1,Don't Know
V0051,"V0051 - DEMOA13: Type of discharge if DEMOA12 was ""other""",1,Medical
V0051,"V0051 - DEMOA13: Type of discharge if DEMOA12 was ""other""",2,Psychological
V0051,"V0051 - DEMOA13: Type of discharge if DEMOA12 was ""other""",3,Other
V0052,V0052 - DEMOA14: Type of medical discharge,-9,Response missing due to CAPI issue
V0052,V0052 - DEMOA14: Type of medical discharge,-8,Skipped
V0052,V0052 - DEMOA14: Type of medical discharge,-2,Refusal
V0052,V0052 - DEMOA14: Type of medical discharge,-1,Don't Know
V0052,V0052 - DEMOA14: Type of medical discharge,1,Honorable
V0052,V0052 - DEMOA14: Type of medical discharge,2,Dishonorable
V0052,V0052 - DEMOA14: Type of medical discharge,3,Something Else
V0053,V0053 - DEMOA15: Type of psychological discharge,-9,Response missing due to CAPI issue
V0053,V0053 - DEMOA15: Type of psychological discharge,-8,Skipped
V0053,V0053 - DEMOA15: Type of psychological discharge,-2,Refusal
V0053,V0053 - DEMOA15: Type of psychological discharge,-1,Don't Know
V0053,V0053 - DEMOA15: Type of psychological discharge,1,Honorable
V0053,V0053 - DEMOA15: Type of psychological discharge,2,Dishonorable
V0053,V0053 - DEMOA15: Type of psychological discharge,3,Something Else
V0054,V0054 - DEMO_END: Section 1 Demographics End Flag (CAPI variable),-9,Response missing due to CAPI issue
V0054,V0054 - DEMO_END: Section 1 Demographics End Flag (CAPI variable),-8,Skipped
V0054,V0054 - DEMO_END: Section 1 Demographics End Flag (CAPI variable),-2,Refusal
V0054,V0054 - DEMO_END: Section 1 Demographics End Flag (CAPI variable),-1,Don't Know
V0054,V0054 - DEMO_END: Section 1 Demographics End Flag (CAPI variable),1,Yes
V0055,V0055 - DATE_ARREST: Arrest Date (CAPI variable) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0055Y,V0055Y - DATE_ARREST: Arrest Date (CAPI variable) - Year,999999,Missing
V0056,V0056 - DATE_ADMIT: Admission Date (CAPI variable) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0056Y,V0056Y - DATE_ADMIT: Admission Date (CAPI variable) - Year,,
V0057,V0057 - Offense_1: Offense # 1 (CAPI variable) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0058,V0058 - Offense_2: Offense # 2 (CAPI variable) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0059,V0059 - Offense_3: Offense # 3 (CAPI variable) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0060,V0060 - Offense_4: Offense # 4 (CAPI variable) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0061,V0061 - Offense_5: Offense # 5 (CAPI variable) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),-9,Response missing due to CAPI issue
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),-8,Skipped
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),-2,Refusal
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),-1,Don't Know
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),0,None
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),1,Violent Offense
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),2,Property Offense
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),3,Drug Offense
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),4,Public Order Offense
V0062,V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable),5,Other Offense
V0063,V0063 - INMATE_TYPE: INMATE TYPE - Incident Section Routing (CAPI variable),-9,Response missing due to CAPI issue
V0063,V0063 - INMATE_TYPE: INMATE TYPE - Incident Section Routing (CAPI variable),-8,Skipped
V0063,V0063 - INMATE_TYPE: INMATE TYPE - Incident Section Routing (CAPI variable),1,"Inmate awaiting trial or waiting to be sentenced (and not on Parole, Probation, or Escape at the time of their arres"
V0063,V0063 - INMATE_TYPE: INMATE TYPE - Incident Section Routing (CAPI variable),2,"Inmate NOT sentenced, NOT convicted/awaiting sentencing, NOT awaiting trial AND being held for other authorities,"
V0063,V0063 - INMATE_TYPE: INMATE TYPE - Incident Section Routing (CAPI variable),3,Inmate NOT incarcerated for a parole or Probation Violation and NOT on parole or probation at time of arrest
V0063,V0063 - INMATE_TYPE: INMATE TYPE - Incident Section Routing (CAPI variable),4,On Escape with No new Offenses
