variable_name,description
CADRLAST,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. NOTE: Beginning in 2017, respondents who reported that they used alcohol on 0 days in the past 30 days are no longer asked questions in the consumption of alcohol module that pertain to the past 30 days. This change has resulted in an increase in the number of respondents who were coded as ""blank"" compared with data from 2016 and prior years. However, this change was determined not to have affected the comparability of estimates since 2017 with those prior to 2017. Next we return to the topic of alcohol. Remember that by a ""drink"", we mean a can or bottle of beer, a glass of wine or a wine cooler, a shot of liquor, or a mixed drink with liquor in it. We are not asking about times when you only had a sip or two from a drink. Earlier, the computer recorded that you drank at least one alcoholic beverage within the past 30 days, that is, since [DATEFILL]. Please think about the last time you drank any alcoholic beverage. How many drinks did you have that time?"
CIGARTRY,How old were you the first time you smoked part or all of a cigar or cigarillo?
COCYRTOT,
CADROTH,
CIGARYFU,Did you first smoke part or all of a cigar or cigarillo in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first smoke part or all of a cigar or cigarillo in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first smoke part or all of a cigar or cigarillo?
CODRGUSE,"How much, if at all, has the COVID-19 pandemic affected your drug use other than alcohol? By drugs we mean cannabis, which includes marijuana or any cannabis product, cocaine, methamphetamine, heroin, fentanyl, hallucinogens, such as LSD, and prescription medications including benzodiazepines such as Xanax and Ativan, stimulants such as Ritalin and Adderall, and opioids such as hydrocodone or oxycodone."
CADROTHM,
CIGARYLU,Did you last smoke part or all of a cigar or cigarillo in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you last smoke part or all of a cigar or cigarillo in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you last smoke part or all of a cigar or cigarillo?
COFINANC,How often have you had serious financial worries because of the COVID-19 pandemic?
CADROTS2,
CIGAVGD,"The following variable, CIGAVGD, was defined as the midpoint of the range the respondent reported as the average number of cigarettes smoked per day on the days cigarettes were smoked in the past month (CIG30AV)."
COHCAPTDL,Delays or cancellations in appointments?
CADRPEOP,"This last time you drank, were you alone or were you with one or more other people?"
CIGAVGM,"The following variable, CIGAVGM, was defined as the product of the number of days a user smoked cigarettes in the past month (IRCIGFM) and the average number of cigarettes smoked per day on the days cigarettes were smoked in the past month (CIGAVGD)."
COHCAPTDL2,
CADRPUBL,
CIGAVOID,"You tend to avoid places that don't allow smoking, even if you would otherwise enjoy them."
COHCRXDL,Delays in getting prescriptions?
CADRSCHL,
CIGCRAGP,You sometimes have strong cravings for a cigarette where it feels like you're in the grip of a force you can't control.
COHCRXDL2,
CAESOPSTOM,
CIGCRAVE,"When you don't smoke for a few hours, you start to crave cigarettes."
COHCSVHLT,Unable to access needed care resulting in moderate to severe impact on health?
CAFRESP2,
CIGDLLST,Earlier the computer also recorded that there was a period in your life when you smoked cigarettes every day for at least 30 days. How old were you when you last smoked cigarettes daily?
COHCSVHLT2,
CAFREWHO,How did you get the last alcoholic beverage that you drank?
CIGDLMFU,In what month in [CURRENT YEAR] did you first start smoking cigarettes every day? In what month in [YEAR FROM CG16y1 or CG16y2] did you first start smoking cigarettes every day?
COHCTELE,"Because of the COVID-19 pandemic in the U.S., did you experience any of the following in your access to medical care? Appointments moved from in-person to telehealth?"
CAGALLIVPAN,
CIGDLMLU,In what month in [CURRENT YEAR] did you last smoke cigarettes daily? In what month in [YEAR FROM LU04a or LU04b] did you last smoke cigarettes daily?
COHCTELE2,
CAGVMONY,"Did you buy this last alcoholic beverage yourself, or did you give money to someone else to buy it for you?"
CIGDLYFU,Did you first start smoking cigarettes every day in [CURRENT YEAR 1] or [CURRENT YEAR]? Did you first start smoking cigarettes every day in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first start smoking cigarettes every day?
COLDMEDS,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. The last questions were about prescription drugs. The next question is about non-prescription cough or cold medicines, also known as over the counter medicines. Have you ever, even once, taken a non-prescription cough or cold medicine just to get high?"
CAGVWHO,Who bought the alcoholic beverage for you?
CIGDLYLU,Did you last smoke cigarettes daily in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you last smoke cigarettes daily in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you last smoke cigarettes daily?
COLDREC,How long has it been since you last took one of these cough or cold medicines to get high?
CAIDCHIP,"NOTE: The variable CAIDCHIP was created from responses to the first question shown below for respondents who were aged 20 or older. For respondents who were aged 12 to 19, CAIDCHIP was created from responses to the two questions shown below. This variable replaces the variable MEDICAID that was present in prior years. Beginning in 2003, respondents aged 65 or older who reported that they were covered by Medicaid were asked to confirm their answer. Medicaid is a public assistance program that pays for medical care for people with low income and people with disabilities. The Medicaid program in [STATE FILL] is also called [MEDIFILL]. Medicaid may also be called Medical Assistance. Is [SAMPLE MEMBER A] covered by Medicaid? Is [SAMPLE MEMBER A] currently covered by [CHIPFILL]?"
CIGDLYMO,Has there ever been a period in your life when you smoked cigarettes every day for at least 30 days?
COLDYR1,
CAKIDNEY,
CIGEVER,These questions are about your cigarette smoking. Have you ever smoked part or all of a cigarette?
COLDYR2,
CALARYLUNG,
CIGFLAG,"NOTE: Certain source variables that were used to create recoded variables have valid values that might not have been reported or assigned for the current survey year. However, these values have been included in the general specifications in the codebook on how the recoded variables were created. See additional details about this issue in the Organization of the Data File section of this codebook introduction."
COLDYR3,
CAMELANOM,
CIGFNLKE,Think about your use of cigarettes during the past 30 days as you answer these next questions. There are times when you choose not to be around your friends who don't smoke because they won't like it if you smoke.
COLDYR4,
CAMHPROB,Do you think you ever had a problem with your own mental health?
CIGFNSMK,Do you have any friends who do not smoke cigarettes?
COLDYR5,
CAMHPROB2,
CIGINCRS,"Since you started smoking, the amount you smoke has increased."
COMBATPY,Did you ever serve on active duty in the United States Armed Forces or Reserve components in a military combat zone or an area where you drew imminent danger pay or hostile fire pay?
CAMHRCVR,At this time do you consider yourself to be in recovery or recovered from your own mental health problem?
CIGINCTL,"You feel a sense of control over your smoking - that is, you can ""take it or leave it"" at any time."
COMHAPTDL,Delays or cancellations in appointments?
CAMOUTTHRO,
CIGINFLU,"The number of cigarettes you smoke per day is often influenced by other things - how you're feeling, or what you're doing, for example."
COMHAPTDL2,
CANCEREVR,
CIGIRTBL,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. Think about your use of cigarettes during the past 30 days as you answer these next questions. Please think about how true each statement is of you. After not smoking for a while, you need to smoke in order to feel less restless and irritable."
COMHRXDL,Delays in getting prescriptions?
CANCERYR,NOTE: The question corresponding to CANCERYR was skipped if respondents reported first being diagnosed with any form of cancer at their current age because it could be logically inferred that they had cancer in the past year. Did you have cancer during the past 12 months?
CIGLOTMR,"Compared to when you first started smoking, you can smoke much, much more now before you start to feel anything."
COMHRXDL2,
CAOTHER2,
CIGMDAYS,
COMHSVHLT,Unable to access needed care resulting in moderate to severe impact on health?
CAOVARY,
CIGMENTH30,"Note: Beginning in 2022, edited variables CIGMENTH30 and CIGROLL30 replace variables CIG30MEN and CIG30ROL due to questionnaire changes and associated changes in skip logic in 2022. Were the cigarettes you smoked most often during the past 30 days menthol?"
COMHSVHLT2,
CAPROSTEST,
CIGMFU,In what month in [CURRENT YEAR] did you first smoke part or all of a cigarette? In what month in [YEAR FROM CG04a or CG04b] did you first smoke part or all of a cigarette?
COMHTELE,"Because of the COVID-19 pandemic in the U.S., did you experience any of the following in your access to mental health treatment? Appointments moved from in-person to telehealth?"
CASKINDK,
CIGMLU,In what month in [CURRENT YEAR] did you last smoke part or all of a cigarette? In what month in [YEAR FROM LU03a or LU03b] did you last smoke part or all of a cigarette?
COMHTELE2,
CASKINOTH,
CIGMON,
CONDLREC,How long has it been since you last used a needle to inject cocaine?
CASUPROB,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. Do you think you ever had a problem with your own drug or alcohol use?"
CIGNMCHG,It's hard to say how many cigarettes you smoke per day because the number often changes.
CONEGMH,"Since the beginning of the COVID-19 pandemic, how much, if at all, has COVID-19 negatively affected your emotional or mental health?"
CASUPROB2,"NOTE: The variables in this section are recoded variables that were created from one or more of the variables from three of the preceding sections: Recoded Drug Use, Emerging Issues, or Imputed Emerging Issues."
CIGNOINF,"Your smoking is not affected much by other things. For example, you smoke about the same amount whether you're relaxing or working, happy or sad, alone or with others."
COPDAGE,"How old were you when your chronic bronchitis, emphysema, or chronic obstructive pulmonary disease, also called COPD were first diagnosed?"
CASURCVR,At this time do you consider yourself to be in recovery or recovered from your own problem with drugs or alcohol use?
CIGPDAY,
COPDEVER,
CATAG2,
CIGPLANE,"Think about your use of cigarettes during the past 30 days as you answer these next questions. Even if you're traveling a long distance, you'd rather not travel by airplane because you wouldn't be allowed to smoke."
COSUAPTDL,Delays or cancellations in appointments?
CATAG3,
CIGREC,"NOTE: This variable incorporates values from the two questions shown below. This variable also incorporates values from two probe questions that were asked when the respondent answered DON'T KNOW or REFUSED to the second question shown below. Now think about the past 30 days, that is, from [DATEFILL] up to and including today. During the past 30 days, have you smoked part or all of a cigarette? How long has it been since you last smoked part or all of a cigarette?"
COSUAPTDL2,
CATAG6,
CIGREGDY,You smoke cigarettes fairly regularly throughout the day.
COSUIPLNYR,Was this because of the COVID-19 pandemic?
CATAG7,
CIGREGNM,You smoke just about the same number of cigarettes from day to day.
COSUITHNK,Was this because of the COVID-19 pandemic?
CATAGE,
CIGREGWK,You smoke about the same amount on weekends as on weekdays.
COSURXDL,Delays in getting prescriptions?
CATHYROID,
CIGRNOUT,You sometimes worry that you will run out of cigarettes.
COSURXDL2,
CAUTERUS,
CIGROLL30,"During the past 30 days, that is since [DATEFILL], have you smoked part or all of a roll-your-own tobacco cigarette?"
COSUSVHLT,Unable to access needed care resulting in moderate to severe impact on health?
CBDHMPEVR,"The next questions are about CBD or hemp products made from hemp plants. CBD and hemp products have no or small amounts of THC and are not intended to cause a “high.” They come in many forms including oils, lotions, edibles, and isolate. People sometimes use them to relieve pain, to reduce anxiety, or to help them sleep. Have you ever, even once, used any CBD or hemp products?"
CIGSATIS,"Compared to when you first started smoking, you need to smoke a lot more now in order to be satisfied."
COSUSVHLT2,
CBDHMPFLAG,
CIGSVLHR,"It's normal for you to smoke several cigarettes in an hour, then not have another one until hours later."
COSUTELE,"Because of the COVID-19 pandemic in the U.S., did you experience any of the following in your access to substance use treatment? Appointments moved from in-person to telehealth?"
CBDHMPMON,
CIGTRY,How old were you the first time you smoked part or all of a cigarette?
COSUTELE2,
CBDHMPREC,How long has it been since you last used any form of CBD or hemp product?
CIGWAKE,"How soon after you wake up do you have your first cigarette? On the days that you smoke, how soon after you wake up do you have your first cigarette?"
COUTYP4,NOTE: COUTYP4 is recoded based on the 2013 Rural/Urban Continuum Codes.
CBDHMPYR,
CIGYFU,Did you first smoke part or all of a cigarette in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first smoke part or all of a cigarette in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first smoke part or all of a cigarette?
CR30EST,What is your best estimate of the number of days you used 'crack' during the past 30 days?
CC30EST,What is your best estimate of the number of days you used cocaine during the past 30 days?
CIGYLU,Did you last smoke part or all of a cigarette in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you last smoke part or all of a cigarette in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you last smoke part or all of a cigarette?
CRAKREC,How long has it been since you last used 'crack'?
CCBSTWAY,"Now think about the past 12 months, from [DATEFILL] through today. We want to know how many days you've used cocaine during the past 12 months. What would be the easiest way for you to tell us how many days you've used it?"
CIGYR,
CRBSTWAY,"Now think about the past 12 months, from [DATEFILL] through today. We want to know how many days you've used 'crack' during the past 12 months. What would be the easiest way for you to tell us how many days you've used it?"
CCDAYPMO,"On average, how many days did you use cocaine each month during the past 12 months?"
CIGYRBFR,"NOTE: Respondents were assigned legitimate skip codes of 99 or 89 in CIGYRBFR if they reported in the core TOBACCO module that they last smoked a cigarette more than 3 years ago. Logically, these respondents would not have smoked a cigarette in the past 12 to 24 months. In addition, CIGYRBFR was not edited with respect to CIGAGLST or CIGDLLST. Therefore, inconsistencies could exist between CIGYRBFR and these other variables. Earlier questions were about the past 12 months. This question is about the year before that, that is, from [DATEFILL - 12 MONTHS] to [DATEFILL]. During that year, beginning [DATEFILL - 12 MONTHS] and ending [DATEFILL], did you smoke part or all of a cigarette, even once?"
CRDAYPMO,"On average, how many days did you use 'crack' each month during the past 12 months?"
CCDAYPWK,"On average, how many days did you use cocaine each week during the past 12 months?"
CIRROSAGE,How old were you when your cirrhosis of the liver was first diagnosed?
CRDAYPWK,"On average, how many days did you use 'crack' each week during the past 12 months?"
CCDAYPYR,On how many days in the past 12 months did you use cocaine?
CIRROSEVR,
CRDAYPYR,On how many days in the past 12 months did you use 'crack'?
CCFQFLG,
CLEFLU,"Have you ever, even once, inhaled correction fluid, degreaser, or cleaning fluid for kicks or to get high?"
CRFQFLG,
CCTOTFG,
CLEFLUEVER,
CRKAGE,How old were you the first time you used 'crack'?
CDCGMO,
CNSANYYR,
CRKAGLST,"The computer recorded that you last used ""crack"" [CKREC FILL]. How old were you the last time you used ""crack?"""
CDNOCGMO,
CNSNMMON,
CRKEVER,"The next questions are about 'crack', that is cocaine in rock or chunk form, and not the other forms of cocaine. Have you ever, even once, used 'crack'?"
CDUFLAG,
CNSNMYR,
CRKFLAG,
CELLNOTCL,Is there at least one telephone at this address that is not a cell phone?
COALCUSE,"How much, if at all, has the COVID-19 pandemic affected the amount of alcohol you drink?"
CRKMDAYS,
CELLWRKNG,Do you or anyone at this address have a working cell phone?
COCAGE,"How old were you the first time you used cocaine, in any form?"
CRKMFU,In what month in [CURRENT YEAR] did you first use 'crack'? In what month in [YEAR FROM CK03a or CK03b] did you first use 'crack'?
CG30EST,What is your best estimate of the number of days you smoked part or all of a cigarette during the past 30 days?
COCAGLST,The computer recorded that you last used cocaine [CCREC FILL]. How old were you the last time you used cocaine?
CRKMLU,"In what month in [CURRENT YEAR] did you last use ""crack""? In what month in [YEAR FROM LU10a or LU10b] did you last use ""crack""?"
CGR30USE,"During the past 30 days, that is since [DATEFILL], on how many days did you smoke part or all of a cigar or cigarillo?"
COCEVER,"These questions are about cocaine, including all the different forms of cocaine such as powder, ""crack,"" free base, and coca paste. Have you ever, even once, used any form of cocaine?"
CRKMON,
CGRAGLST,The computer recorded that you last smoked part or all of a cigar or cigarillo [CG37REC FILL]. How old were you the last time you smoked part or all of a cigar or cigarillo?
COCFLAG,
CRKUS30A,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use 'crack'?"
CGRFLAG,
COCLALCUSE,
CRKYDAYS,
CGRMDAYS,
COCLDRGUSE,
CRKYFU,Did you first use 'crack' in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first use 'crack' in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first use 'crack'?
CGRMON,
COCLFINANC,
CRKYLU,"Did you last use ""crack"" in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you last use ""crack"" in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you last use ""crack""?"
CGRYR,
COCLNEGMH,
CRKYR,
CHAMPUS,"There are certain programs that cover active duty and retired career military personnel and their dependents and survivors and also disabled veterans and their dependents and survivors. Is [SAMPLE MEMBER A] currently covered by TRICARE, or CHAMPUS, CHAMPVA, the VA, or military health care?"
COCMDAYS,
CRKYRTOT,
CHMNDLREC,
COCMFU,In what month in [CURRENT YEAR] did you first use cocaine in any form? In what month in [YEAR FROM CC03a or CC03b] did you first use cocaine?
CRTOTFG,
CI30EST,What is your best estimate of the number of days you smoked part or all of a cigar or cigarillo during the past 30 days?
COCMLU,In what month in [CURRENT YEAR] did you last use cocaine? In what month in [YEAR FROM LU09a or LU09b] did you last use cocaine?
DAMTFXFLAG,
Codebook Creation Date: 10/19/2023,
