"","INDEX",""
"DRVINMARJ ......................... 48","FUCGR21 ............................... 245","HALLUCAGE ........................ 123"
"DRVINMARJ2 ....................... 50","FUCIG18 ................................ 245","HALLUCEVR ........................ 123"
"DRVINMETH ......................... 49","FUCIG21 ................................ 245","HALLUCFLAG ...................... 212"
"DSTCHR12 ............................. 446","FUCOC18 ............................... 246","HALLUCMFU ........................ 124"
"DSTCHR30 ............................. 444","FUCOC21 ............................... 246","HALLUCMON ....................... 212"
"DSTEFF12 .............................. 446","FUCRK18 ............................... 246","HALLUCOT1 ......................... 119"
"DSTEFF30 .............................. 444","FUCRK21 ............................... 246","HALLUCOT2 ......................... 121"
"DSTHOP12 ............................. 445","FUECSTMO18 ....................... 247","HALLUCOT3 ......................... 122"
"DSTHOP30 ............................. 443","FUECSTMO21 ....................... 247","HALLUCOT4 ......................... 122"
"DSTNGD12 ............................ 446","FUHALLUC18 ....................... 247","HALLUCOT5 ......................... 123"
"DSTNGD30 ............................ 444","FUHALLUC21 ....................... 247","HALLUCOTH ........................ 118"
"DSTNRV12 ............................. 445","FUHER18 ............................... 247","HALLUCREC ......................... 124"
"DSTNRV30 ............................. 443","FUHER21 ............................... 247","HALLUCYFQ ........................ 124"
"DSTRST12 .............................. 445","FUINHAL18........................... 248","HALLUCYFU ........................ 123"
"DSTRST30 .............................. 443","FUINHAL21........................... 248","HALLUCYR ........................... 212"
"DSTWORST ........................... 444","FULSD18 ............................... 247","HALLYRLST ......................... 382"
"ECSTMOAGE ........................ 128","FULSD21 ............................... 247","HALTOTFG ........................... 124"
"ECSTMOAGL ........................ 385","FUMETHAM18 ..................... 248","HEALTH ................................ 10"
"ECSTMOFLAG ...................... 213","FUMETHAM21 ..................... 248","HEALTH2 .............................. 15"
"ECSTMOLLY ......................... 117","FUMJ18 .................................. 246","HEOTNDL .............................. 262"
"ECSTMOMFU ........................ 129","FUMJ21 .................................. 246","HEOTOTH .............................. 262"
"ECSTMOMLU........................ 386","FUNICVAP18 ........................ 246","HEOTSMK ............................. 262"
"ECSTMOMON ....................... 213","FUNICVAP21 ........................ 246","HEOTSNF .............................. 262"
"ECSTMOREC ......................... 129","FUPCP18 ................................ 247","HEOTSP ................................. 263"
"ECSTMOYFU ........................ 128","FUPCP21 ................................ 247","HEPBCAGE ........................... 539"
"ECSTMOYLU ........................ 385","FUPNRNM18 ......................... 248","HEPBCEVER ......................... 534"
"ECSTMOYR ........................... 213","FUPNRNM21 ......................... 248","HER30USE ............................. 115"
"EDFAM18............................... 28","FUSEDNM18 ......................... 249","HERAGE ................................ 112"
"EDUD5PNRMIS ..................... 357","FUSEDNM21 ......................... 249","HERAGLST ............................ 381"
"EDUD5PNRUNM................... 357","FUSMKLSS18 ....................... 245","HEREVER .............................. 112"
"EDUD5SEDMIS ..................... 358","FUSMKLSS21 ....................... 245","HERFLAG .............................. 212"
"EDUD5SEDUNM ................... 359","FUSTMNM18 ........................ 248","HERMDAYS .......................... 243"
"EDUD5STMMIS .................... 358","FUSTMNM21 ........................ 248","HERMFU ................................ 113"
"EDUD5STMUNM .................. 358","FUTRQNM18......................... 248","HERMLU ................................ 382"
"EDUD5TRQMIS..................... 357","FUTRQNM21......................... 248","HERMON ............................... 212"
"EDUD5TRQUNM .................. 358","GAS ........................................ 131","HERNEDEVER ...................... 271"
"EDUFULPAR ......................... 16","GASEVER .............................. 225","HERNEEDL ........................... 262"
"EDUHIGHCAT ...................... 15","GHB ....................................... 260","HERPNRYR ........................... 219"
"EDUSCHGRD2 ...................... 16","GHBFLAG ............................. 272","HERREC ................................. 113"
"EDUSCHLGO ........................ 16","GHBMON .............................. 272","HERSMOEVER...................... 272"
"EDUSCKCOM........................ 17","GHBREC ................................ 260","HERSMOKE........................... 261"
"EDUSCKEST.......................... 17","GHBYR .................................. 272","HERSNIEVER ........................ 272"
"EDUSCKMON ....................... 17","GLUE ..................................... 132","HERSNIFF .............................. 261"
"EDUSKPCOM ........................ 18","GLUEEVER ........................... 225","HERYDAYS ........................... 241"
"EDUSKPEST .......................... 18","GNNDCLEN .......................... 269","HERYFU ................................ 112"
"Codebook Creation Date: 10/19/2023 ................................................. 562","",""
