variable_name,description
SOLVENT,"Have you ever, even once, inhaled lacquer thinner or other paint solvents for kicks or to get high?"
SUNTPRIV,
SVYROPIANY,
SPAINTEVER,
SUNTPROBS,
SVYRPSYANY,"(SEVYRPNRANY, SEVYRSEDANY, SEVYRSTMANY, SEVYRTRQANY)"
SPDPSTMON,
SUNTPTHNK,
SVYRSUDANY,"(IRPYSEV5ALC, IRPYSEV5COC, IRPYSEV5HAL, IRPYSEV5HER, IRPYSEV5INH, IRPYSEV5MRJ, IRPYSEV5MTH, SEVYRPNRANY,"
SPDPSTYR,
SUNTQUIT,
SVYRTQSDANY,"NOTE: The following six substance use disorder (SUD) severity recoded variables were created using the DSM-5 based SUD variables that include use disorder data from all past year users of prescription drugs. These SUD severity recoded variables are defined as the maximum disorder severity level across multiple substances (each of the source variables represent a substance). When any of the source variables indicated a disorder (mild, moderate, or severe), these recoded variables are assigned the maximum severity level."
SPEAKENGL,How well do you speak English?
SUNTSTART,
SYNMRJEVR,"The next question is about synthetic marijuana or fake weed, also called K2 or Spice. Have you ever, even once, used synthetic marijuana or fake weed?"
SPPAINT,"Have you ever, even once, inhaled spray paints for kicks or to get high?"
SUNTTIME,
SYNMRJFLAG,
SRCCLFRPNR,"NOTE: The following four variables show collapsed levels for the source of friend or relative’s most recent misuse of prescription pain relievers (SRCCLFRPNR), prescription tranquilizers (SRCCLFRTRQ), prescription stimulants (SRCCLFRSTM), and prescription sedatives (SRCCLFRSED) within the past year."
SUNTWHER,
SYNMRJMON,
SRCCLFRSED,
SUTINPPY,
SYNMRJREC,How long has it been since you last used synthetic marijuana or fake weed?
SRCCLFRSTM,
SUTNEEDPY,
SYNMRJYR,
SRCCLFRTRQ,
SUTOUTALC,For which of the following substances did you receive outpatient treatment in the past 12 months? Alcohol?
SYNSTMEVR,"The next question is about synthetic stimulants that people use to get high, also called ""bath salts"" or flakka. Have you ever, even once, used these synthetic stimulants?"
SRCFRPNRNM,"NOTE: A respondent who misused prescription drugs in the past year was administered a question regarding the source of the drug during their most recent use. If they indicated that their most recent source was a 'friend or relative for free' from either of these questions, then a respondent was administered a follow-up question that asked the source the friend/relative had obtained the drug from. The following four variables pertain to the source from which a respondent's friend or relative obtained the drug for prescription pain relievers (SRCFRPNRNM), prescription tranquilizers (SRCFRTRQNM), prescription stimulants (SRCFRSTMNM), and prescription sedatives (SRCFRSEDNM) within the past year. For each of the following four variables, there are eight mutually exclusive categories for specific sources that the friend/relative obtained the drug from and a missing category for respondents who did not indicate using the drug in the past year (or lifetime) or a respondent that indicated in one of the previous questions that they had obtained the drug for most recent use from a valid source other than a friend or relative for free and respondents with unknown or invalid values. Based on the following conditions, a respondent was classified in one of the following nine categories (including System Missing) for the source of most recent prescription drug use in the past year for the variables, SRCFRPNRNM, SRCFRTRQNM, SRCFRSTMNM, and SRCFRSEDNM: 1. Got Prescription(s) from One Doctor (XXXGOTLAS=4 and XXXFFGOT=1, 11) 2. Got Prescription(s) from More Than One Doctor (XXXGOTLAS=4 and XXXFFGOT=2, 12) 3. Stole from Dr Office, Clinic, Hospital, or Pharmacy(XXXGOTLAS=4 and XXXFFGOT=3, 13) 4. Got From Friend or Relative for Free (XXXGOTLAS=4 and XXXFFGOT=4, 14) 5. Bought from Friend or Relative (XXXGOTLAS=4 and XXXFFGOT=5, 15) 6. Took from Friend or Relative without Asking (XXXGOTLAS=4 and XXXFFGOT=6, 16) 7. Bought from Drug Dealer or Other Stranger (XXXGOTLAS=4 and XXXFFGOT=7, 17) 8. Got Some Other Way (XXXGOTLAS=4 and XXXFFGOT=8 and XXXFFGTSP=valid ""other"" response, levels 9-38, 71) (System Missing): No Past Year Misuse or Valid Source of Most Recent Misuse Not from Friend or Relative for Free /Unknown/Invalid Source (XXXGOTLAS not=4 or [XXXGOTLAS=4 and XXXFFGOT=94, 97, 98)] or [XXXGOTLAS=4 and XXXFFGOT=8 and"
SUTOUTALCPY,"NOTE: This section includes recodes for the receipt of treatment as an outpatient for the following substances: alcohol (ALC), marijuana (MRJ), cocaine (COC), heroin (HER), hallucinogens (HAL), inhalants (INH), methamphetamine (MTH), pain relievers (PNR), stimulants (STM), tranquilizers (TRQ), sedatives (SED), tranquilizers or sedatives (TQSD), psychotherapeutics (PSY), opioids (OPI), central nervous system stimulants (CNS), drugs (DRG), alcohol and drugs (DRAL), and substance unspecified (UNSP). Because respondents can specify more than one drug for which they received treatment, there is a different variable for every drug (SUTOUTXXXPY). XXX in the variable name refers to the drug abbreviations in parentheses provided above. Because there is a relatively large number of respondents that did not indicate a substance for which they received outpatient treatment (respondents either answered no to or had missing data for all the substances they were asked about), it is important to consider the substance unspecified numbers (SUTOUTUNSPPY) when analyzing any of the specific substances or aggregate substance categories."
SYNSTMFLAG,
SRCFRSEDNM,
SUTOUTCNSPY,
SYNSTMMON,
SRCFRSTMNM,
SUTOUTCOC,"Cocaine or ""crack""?"
SYNSTMREC,"How long has it been since you last used these synthetic stimulants, also called ""bath salts"" or flakka?"
SRCFRTRQNM,
SUTOUTCOCPY,
SYNSTMYR,
SRCPNRNM2,"NOTE: The following four variables pertain to the source of a respondent's most recent misuse of prescription pain relievers (SRCPNRNM2), prescription tranquilizers (SRCTRQNM2), prescription stimulants (SRCSTMNM2), and prescription sedatives (SRCSEDNM2) within the past year. For each variable there are eight mutually exclusive categories for specific sources, and a missing category for respondents with no past year misuse or unknown responses to the source questions. The categories for the specific sources take into account responses from a single question asking about a single, most recent source of misuse among respondents who misused in the past year. Based on the following conditions, a respondent was classified in one of the following nine categories (including System Missing) for the source of most recent prescription drug misuse in the past year for the variables, SRCPNRNM2, SRCTRQNM2, SRCSTMNM2, and SRCSEDNM2: 1. Got From One Doctor 2. Got From More Than One Doctor 3. Stole from Dr Office, Clinic, Hospital, or Pharmacy 4. Got From Friend or Relative for Free 5. Bought from Friend or Relative 6. Took from Friend or Relative without Asking 7. Bought from Drug Dealer or Other Stranger 8. Got Some Other Way (System Missing) No Past Year Misuse/Unknown/Invalid Source"
SUTOUTDRALPY,
TALKPROB,"The following variable, TALKPROB, was created from the variables containing information on who youths would talk with about serious problems: No one (YETLKNON), parent/guardian (YETLKPAR), boyfriend/girlfriend (YETLKBGF), other adults (YETLKOTA), or some other person (YETLKSOP). Youths who did not report a positive response to at least one of the source variables (no source variables=1), or youths who reported both being able to talk with no one (YETLKNON=11) and being able to talk to someone (YETLKPAR, YETLKBGF, YETLKOTA, or YETLKSOP=11), or respondents over the age of 17 (all source variables=99) were coded as system missing. (YETLKBGF, YETLKNON, YETLKOTA, YETLKPAR, YETLKSOP)"
SRCSEDNM2,
SUTOUTDRGPY,"(SUTOUTCOCPY, SUTOUTHALPY, SUTOUTHERPY, SUTOUTINHPY, SUTOUTMRJPY, SUTOUTMTHPY, SUTOUTPNRPY, SUTOUTSEDPY,"
TCHGJOB,
SRCSTMNM2,
SUTOUTHALL,Hallucinogens such as [HALLFILL2]?
TELEAPTYR,"During the past 12 months, have you talked to a doctor, physician assistant, or nurse practitioner about your own health over the phone, by email, or through video calling instead of going to an in-person appointment?"
SRCTRQNM2,
SUTOUTHALPY,
TELEAPTYR2,
STDANYYR,"These next questions are about certain medical conditions. During the past 12 months, did you have a sexually transmitted disease such as chlamydia, gonorrhea, herpes or syphilis?"
SUTOUTHER,Heroin?
TOBALCFLG,
STMANYFLAG,"Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the lifetime use or misuse of prescription stimulants (ever used/ever misused) in analysis."
SUTOUTHERPY,
TOBALCMN,
STMANYLIF,"Have you ever, even once, used any prescription stimulant? Remember, do not include ""over-the-counter"" stimulants such as Dexatrim, No-Doz, Hydroxycut, or 5-Hour Energy."
SUTOUTINHL,Inhalants such as [INFILL2]?
TOBALCYR,
STMANYREC,NOTE: STMANYREC was created from responses of any use in the past 12 months for specific stimulants and from STMANYLIF for any lifetime use of stimulants.
SUTOUTINHPY,
TOBCIGONL,"Respondents were classified as having smoked cigarettes as the only form of tobacco used in the past month (TOBCIGONL=1) if they smoked cigarettes in the past month (CIGMON=1) and did not use cigars, pipes, or smokeless tobacco in the past month (CGRMON=0 and PIPMON=0 and SMKLSSMON=0). Respondents were classified as having used both cigarettes and another tobacco product in the past month (TOBCIGONL=2) if they smoked cigarettes in the past month (CIGMON=1) and used any of cigars, pipes, or smokeless tobacco in the past month (CGRMON=1 or PIPMON=1 or SMKLSSMON=1). Respondents were classified as having used a tobacco product but not cigarettes in the past month (TOBCIGONL=3) if they did not smoke cigarettes in the past month (CIGMON=0) and used any of cigars, pipes, or smokeless tobacco in the past month (CGRMON=1 or PIPMON=1 or SMKLSSMON=1)."
STMANYYR,
SUTOUTMETH,Methamphetamine?
TOBCIGVAP2,
STMMAINRSN,"The following main reason for misusing stimulants, STMMAINRSN, is defined based on answers to questions about respondents’ reasons for misusing stimulants for their last misuse. Respondents could report more than one reason for misusing stimulants the last time. If they reported more than one reason, then they were asked to report the main reason. If data existed for the main reason question, then that response was considered to be their main reason. If respondents reported only one reason for their last misuse, then that logically was the main reason (i.e., these respondents were not asked the question for their main reason). If respondents reported that some other reason was their main reason for their last misuse, then their response was logically assigned from the write in data. In the documentation below, values of 11-18 in STMRSMAIN reflect situations where respondents reported more than one reason for their last misuse, their “other” reason for their last misuse was their main reason for their last misuse, but the other reason was the reason specified as one of the eight categories below. 1. Main reason is to help lose weight (STMRSMAIN=1,11), reported only one reason which was to help lose weight (STMRSMAIN=99 and STMRSWGHT=1), or reported some other reason as their only reason but specified that this other reason was to help lose weight (STMRSMAIN=99 and STMRSWGHT=3). 2. Main reason is to help concentrate (STMRSMAIN=2,12), reported only one reason which was to help concentrate (STMRSMAIN=99 and STMRSCONC=1), or reported some other reason as their only reason but specified that this other reason was to help concentrate (STMRSMAIN=99 and STMRSCONC=3). 3. Main reason is to help be alert or stay awake (STMRSMAIN=3,13), reported only one reason which was to help be alert or stay awake (STMRSMAIN=99 and STMRSALRT=1), or reported some other reason as their only reason but specified that this other reason was to help be alert or stay awake (STMRSMAIN=99 and STMRSALRT=3). 4. Main reason is to help study (STMRSMAIN=4,14), reported only one reason which was to help study (STMRSMAIN=99 and STMRSSTDY=1), or reported some other reason as their only reason but specified that this other reason was to help study (STMRSMAIN=99 and STMRSSTDY=3). 5. Main reason is to experiment or see what it’s like (STMRSMAIN=5,15), reported only one reason which was to experiment or see what it’s like (STMRSMAIN=99 and STMRSEXPT=1), or reported some other reason as their only reason but specified that this other reason was to experiment or see what it's like (STMRSMAIN=99 and STMRSEXPT=3). 6. Main reason is to feel good or get high (STMRSMAIN=6,16), reported only one reason which was to feel good or get high (STMRSMAIN=99 and STMRSHIGH=1), or reported some other reason as their only reason but specified that this other reason was to feel good or get high (STMRSMAIN=99 and STMRSHIGH=3). 7. Main reason is to increase/decrease effects of other drugs (STMRSMAIN=7,17), reported only one reason which was to increase/decrease the effects of other drugs (STMRSMAIN=99 and STMRSDGFX=1), or reported some other reason as their only reason but specified that this other reason was to increase/decrease the effects of other drugs (STMRSMAIN=99 and STMRSDGFX=3). 8. Main reason is because hooked or have to have the drug (STMRSMAIN=8,18), reported only one reason which was because they were hooked or had to have the drug (STMRSMAIN=99 and STMRSHOOK=1), or reported some other reason as their only reason but specified that this other reason was because they were hooked or had to have the drug (STMRSMAIN=99 and STMRSHOOK=3). 9. Main reason is some other reason (STMRSMAIN=9), or reported only one reason which was a valid other reason listed for stimulant other than those defined above based on the write in data (STMRSMAIN=99 and STMRSSOR=1 and STMRSOTRS2=1,2,6,14- 35). Values of 3,4, and 7-12 that are in the specific other reason level are write in responses that do not correspond to reasons listed for stimulants but are considered valid reasons so are not excluded. (System Missing): Main reason is unknown (STMRSMAIN=85,94,98) or reported only one reason and the other reason was not a valid reason (STMRSMAIN=99 and STMRSSOR=1 and STMRSOTRS2 = 985,994,997). (STMRSALRT, STMRSCONC, STMRSDGFX, STMRSEXPT, STMRSHIGH, STMRSHOOK, STMRSMAIN, STMRSOTRS2, STMRSSOR,"
SUTOUTMRJ,Marijuana or cannabis products?
TOBFLAG,
STMNDAYPM,
SUTOUTMRJPY,
TOBMON,
STMNDLREC,
SUTOUTMTHPY,
TOBVAPONL2,"NOTE: Beginning in 2022, recoded variables TOBVAPONL2 and TOBCIGVAP2 replace variables TOBVAPONL and TOBCIGVAP. The new versions of the variables were created using the new nicotine vaping variables."
STMNDLYR,"At any time in the past 12 months, did you ever use a needle to inject [STNAMEFILL] ?"
SUTOUTNDOC,"(IRSUTOUTHOSP, IRSUTOUTMHCR, IRSUTOUTRHAB, IRSUTOUTSCH, IRSUTOUTTHRP)"
TOBVNICFLAG,
STMNM30AL,"During the past 30 days, did you use [STNAMEFILL] in any way a doctor did not direct you to use [STNUMFILL] while you were drinking alcohol or within a couple of hours of drinking?"
SUTOUTODG,Some other drug?
TOBVNICMON,
STMNM30D,"In the past 30 days, that is, from [DATEFILL] up to and including today, did you use [STNAMEFILL] in any way a doctor did not direct you to use"
SUTOUTOPIPY,
TOBVNICYR,
STMNM30ES,What is your best estimate of the number of days you used [STNAMEFILL] in any way a doctor did not direct you to use [STNUMFILL] during the past 30 days?
SUTOUTPNR,Prescription pain relievers?
TOBYR,
STMNM30FQ,"During the past 30 days, on how many days did you use [STNAMEFILL] in any way a doctor did not direct you to use [STNUMFILL]?"
SUTOUTPNRPY,
TQSDANYFLG,"Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the lifetime any use of tranquilizers or sedatives in analysis."
STMNMAGE,"NOTE: The variables STMNMAGE, STMNMYFU, and STMNMMFU show the age, year, and month of first misuse, respectively, for respondents who initiated misuse of stimulants in the 12 months prior to being interviewed (STMNMINIT=1)."
SUTOUTPPY,"(IRSUTOUTDOC, IRSUTOUTHOSP, IRSUTOUTMHCR, IRSUTOUTRHAB, IRSUTOUTSCHL, IRSUTOUTTHRP)"
TQSDANYYR,
STMNMFLAG,"Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the lifetime misuse of prescription stimulants (ever misused) in analysis."
SUTOUTPSYPY,"(SUTOUTPNRPY, SUTOUTSEDPY, SUTOUTSTMPY, SUTOUTTRQPY)"
TQSDNMFLAG,"Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the lifetime misuse of tranquilizers or sedatives (ever misused) in analysis."
STMNMINIT,"NOTE: STMNMINIT is ""reverse coded"" from the answers in STL03. STL03=1 (yes) was recoded to 2 in STMNMINIT because this answer means that the respondent misused stimulants before the past 12 months (and therefore is not a past year initiate for misuse of stimulants). STL03=2 (no) was recoded to 1 in STMNMINIT because this answer means that the respondent did not misuse stimulants before the past 12 months (and therefore is a past year initiate for misuse of stimulants). Earlier questions were about the past 12 months. This question is about any time before then, that is, any time in your life before [DATEFILL]. At any time before [DATEFILL], did you ever use any prescription stimulant in a way a doctor did not direct you to use it?"
SUTOUTSED,Prescription sedatives?
TQSDNMMON,
STMNMLAS1,"Now think about the last time you used a prescription stimulant in any way a doctor did not direct you to use it. Which of these stimulants did you use the last time? If you used more than one stimulant the last time, please choose one stimulant as your best answer."
SUTOUTSEDPY,
TQSDNMYR,
STMNMLIF,"The next question asks about using prescription stimulants in any way a doctor did not direct you to use them. When you answer these questions, please think only about your use of the drug in any way a doctor did not direct you to use it, including: • Using it without a prescription of your own • Using it in greater amounts, more often, or longer than you were told to take it • Using it in any other way a doctor did not direct you to use it Have you ever, even once, used any prescription stimulant in any way a doctor did not direct you to use it?"
SUTOUTSTM,Prescription stimulants?
TRBZOANYYR,"The following variable for any past year use of Any Benzodiazepines Tranquilizers, TRBZOANYYR, was assigned a positive response if a respondent indicated any past year use of Benzodiazepine Tranquilizers or past year misuse of Benzodiazepine Tranquilizers that were specified as other Tranquilizers."
STMNMMFU,
SUTOUTSTMPY,
TRBZONMYR,"The following variable for any past year misuse of Any Benzodiazepines Tranquilizers, TRBZNMYR, was assigned a positive response if a respondent indicated any past year misuse of Benzodiazepine Tranquilizers or past year misuse of Benzodiazepine Tranquilizers that were specified as other Tranquilizers."
STMNMMON,
SUTOUTTQSDPY,
TRIMEST,
STMNMREC,"NOTE: The variable STMNMREC is a recoded variable that was created from STMNMLIF, the 12-month misuse variables of specific stimulants, and STIMNM30DY."
SUTOUTTRQ,Prescription tranquilizers?
TRQANYFLAG,"Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the lifetime use or misuse of prescription tranquilizers (ever used/ever misused) in analysis."
STMNMYFU,
SUTOUTTRQPY,
TRQANYLIF,"Have you ever, even once, used any prescription tranquilizer?"
STMNMYR,
SUTOUTUNSPPY,
TRQANYREC,NOTE: TRQANYREC was created from responses of any use in the past 12 months for specific tranquilizers and from TRQANYLIF for any lifetime use of tranquilizers.
STMNORXFG,NOTE: STMNORXFG is set to 1 when respondents reported that the only way they misused stimulants in the past year was without a prescription. These respondents also reported that the last stimulant they misused was obtained through a prescription (a) from one doctor or (b) from more than one doctor.
SUTPEERADB,Peer support specialist or recovery coach
TRQANYYR,
STMRSALRT,
SUTPHVIADB,"When you received the following treatment services in the past 12 months, was it for your alcohol use only, your drug use only, or both your alcohol and drug use? Professional treatment over the phone, or through video"
TRQMAINRSN,"The following main reason for misusing tranquilizers, TRQMAINRSN, is defined based on answers to questions about respondents’ reasons for misusing tranquilizers for their last misuse. Respondents could report more than one reason for misusing tranquilizers the last time. If they reported more than one reason, then they were asked to report the main reason. If data existed for the main reason question, then that response was considered to be their main reason. If respondents reported only one reason for their last misuse, then that logically was the main reason (i.e., these respondents were not asked the question for their main reason). If respondents reported that some other reason was their main reason for their last misuse, then their response was logically assigned from the write in data. In the documentation below, values of 11-17 in TRQRSMAIN reflect situations where respondents reported more than one reason for their last misuse, their “other” reason for their last misuse was their main reason for their last misuse, but the other reason was the reason specified as one of the seven categories below. 1. Main reason is to relax or relieve tension (TRQRSMAIN=1,11), reported only one reason which was to relax or relieve tension (TRQRSMAIN=99 and TRQRSRELX=1), or reported some other reason as their only reason but specified that this other reason was to relax or relieve tension (TRQRSMAIN=99 and TRQRSRELX=3). 2. Main reason is to experiment or see what it’s like (TRQRSMAIN=2,12), reported only one reason which was to experiment or see what it’s like (TRQRSMAIN=99 and TRQRSEXPT=1), or reported some other reason as their only reason but specified that this other reason was to experiment or see what it's like (TRQRSMAIN=99 and TRQRSEXPT=3). 3. Main reason is to feel good or get high (TRQRSMAIN=3,13), reported only one reason which was to feel good or get high (TRQRSMAIN=99 and TRQRSHIGH=1), or reported some other reason as their only reason but specified that this other reason was to feel good or get high (TRQRSMAIN=99 and TRQRSHIGH=3). 4. Main reason is to help with sleep (TRQRSMAIN=4,14), reported only one reason which was to help with sleep (TRQRSMAIN=99 and TRQRSSLEP=1), or reported some other reason as their only reason but specified that this other reason was to help with sleep (TRQRSMAIN=99 and TRQRSSLEP=3). 5. Main reason is to help with feelings or emotions (TRQRSMAIN=5,15), reported only one reason which was to help with feelings or emotions (TRQRSMAIN=99 and TRQRSEMOT=1), or reported some other reason as their only reason but specified that this other reason was to help with feelings or emotions (TRQRSMAIN=99 and TRQRSEMOT=3). 6. Main reason is to increase/decrease effects of other drugs (TRQRSMAIN=6,16), reported only one reason which was to increase/decrease the effects of other drugs (TRQRSMAIN=99 and TRQRSDGFX=1), or reported some other reason as their only reason but specified that this other reason was to increase/decrease the effects of other drugs (TRQRSMAIN=99 and TRQRSDGFX=3). 7. Main reason is because hooked or have to have drug (TRQRSMAIN=7,17), reported only one reason which was because they were hooked or had to have the drug (TRQRSMAIN=99 and TRQRSHOOK=1), or reported some other reason as their only reason but specified that this other reason was because they were hooked or had to have the drug (TRQRSMAIN=99 and TRQRSHOOK=3). 8. Main reason is some other reason (TRQRSMAIN=8), or reported only one reason which was a valid other reason listed for tranquilizer other than those defined above based on the write in data (TRQRSMAIN=99 and TRQRSSOR=1 and TRQRSOTRS2=1, 9-72). Values of 2-8 that are in the specific other reason level are write in responses that do not correspond to reasons listed for tranquilizers but are considered valid reasons so are not excluded. (System Missing): Main reason is unknown (TRQRSMAIN=85,94,98) or reported only one reason and the other tranquilizer reason was not a valid reason (TRQRSMAIN=99 and TRQRSSOR=1 and TRQRSOTRS2=985,994,997). (TRQRSDGFX, TRQRSEMOT, TRQRSEXPT, TRQRSHIGH, TRQRSHOOK, TRQRSMAIN, TRQRSOTRS2, TRQRSRELX, TRQRSSLEP,"
STMRSCONC,
SUTPHVIALC,"The following variable for receipt of phone or video services for alcohol use in the past year, SUTPHVIALC, was assigned a positive response if a respondent met either of these conditions: 1. Received phone or video services in the past year (IRSUTPHVID=1) and that service was for alcohol use only OR drug and alcohol use 2. Received phone or video services in the past year (IRSUTPHVID=1) and had used alcohol but not drugs in their lifetime [(ILLFLAG=0 and PSYANYFLAG=0) and ALCFLAG=1]. (ALCFLAG, ILLFLAG, IRSUTPHVID, PSYANYFLAG, SUTPHVIADB)"
TRQNDAYPM,
STMRSDGFX,
SUTPHVIDRG,"The following variable for receipt of phone or video services for drug use in the past year, SUTPHVIDRG, was assigned a positive response if a respondent met either of these conditions: 1. Received phone or video services in the past year (IRSUTPHVID=1) and that service was for drug use only OR drug and alcohol use 2. Received phone or video services in the past year (IRSUTPHVID=1) and had used drugs but not alcohol in their lifetime [(ILLFLAG=1 or PSYANYFLAG=1) and ALCFLAG=0]. (ALCFLAG, ILLFLAG, IRSUTPHVID, PSYANYFLAG, SUTPHVIADB)"
TRQNM30AL,"NOTE: Responses of ""yes"" in TRQNM30AL were assigned a code of 11 when respondents reported that they misused tranquilizers with alcohol in the past 30 days but there was some question from the edited alcohol data about whether they used alcohol in the past 30 days. Analysts are encouraged to check the value of the final imputed alcohol recency IRALCRC when TRQNM30AL=11 to determine whether IRALCRC was assigned a value to indicate that the most recent use of alcohol was within the past 30 days or was more than 30 days ago but within the past 12 months. During the past 30 days, did you use [TRNAMEFILL] in any way a doctor did not direct you to use [TRNUMFILL] while you were drinking alcohol or within a couple of hours of drinking?"
STMRSEXPT,
SUTRTALCPY,"The following variable for receipt of substance use treatment for alcohol use in the past year, SUTRTALCPY, was assigned a positive response if a respondent indicated receiving substance use treatment (SUTRTPY=1) and that treatment was for alcohol use [SUTOUTALCPY=1, inpatient treatment for alcohol use, SUTPHVIALC=1, IRSUTRXALC=1, prison or jail for alcohol use, or (prison or jail for substance use and ALCFLAG=1 and ILLFLAG=0 and PSYANYFLAG=0)]. (ALCFLAG, ILLFLAG, IRSUTRXALC, PSYANYFLAG, SUTOUTALCPY, SUTPHVIALC, SUTRTPY)"
TRQNM30D,"In the past 30 days, that is, from [DATEFILL] up to and including today, did you use [TRNAMEFILL] in any way a doctor did not direct you to use [TRNUMFILL]?"
STMRSHIGH,
SUTRTDRALPY,
TRQNM30ES,What is your best estimate of the number of days you used [TRNAMEFILL] in any way a doctor did not direct you to use [TRNUMFILL] during the past 30 days?
STMRSHOOK,
