"","INDEX",""
"SRCCLFRPNR ....................... 255","SUNTWHER .......................... 407","SYNMRJMON ....................... 550"
"SRCCLFRSED........................ 255","SUTINPPY ............................. 403","SYNMRJREC ......................... 545"
"SRCCLFRSTM ....................... 255","SUTNEEDPY ......................... 406","SYNMRJYR ........................... 550"
"SRCCLFRTRQ ....................... 255","SUTOUTALC ........................ 390","SYNSTMEVR ........................ 545"
"SRCFRPNRNM ...................... 254","SUTOUTALCPY ................... 403","SYNSTMFLAG ...................... 550"
"SRCFRSEDNM ...................... 255","SUTOUTCNSPY.................... 404","SYNSTMMON ....................... 550"
"SRCFRSTMNM ...................... 254","SUTOUTCOC ........................ 391","SYNSTMREC ......................... 545"
"SRCFRTRQNM ...................... 254","SUTOUTCOCPY ................... 403","SYNSTMYR ........................... 550"
"SRCPNRNM2 ......................... 253","SUTOUTDRALPY ................ 405","TALKPROB ........................... 439"
"SRCSEDNM2 ......................... 253","SUTOUTDRGPY ................... 405","TCHGJOB .............................. 436"
"SRCSTMNM2 ........................ 253","SUTOUTHALL ...................... 391","TELEAPTYR .......................... 529"
"SRCTRQNM2 ......................... 253","SUTOUTHALPY ................... 403","TELEAPTYR2 ........................ 542"
"STDANYYR ........................... 533","SUTOUTHER ........................ 391","TOBALCFLG ......................... 222"
"STMANYFLAG ..................... 216","SUTOUTHERPY ................... 403","TOBALCMN .......................... 222"
"STMANYLIF .......................... 161","SUTOUTINHL ....................... 391","TOBALCYR ........................... 222"
"STMANYREC ........................ 161","SUTOUTINHPY .................... 404","TOBCIGONL ......................... 209"
"STMANYYR .......................... 216","SUTOUTMETH ..................... 392","TOBCIGVAP2 ........................ 210"
"STMMAINRSN ...................... 251","SUTOUTMRJ......................... 390","TOBFLAG .............................. 209"
"STMNDAYPM ....................... 244","SUTOUTMRJPY.................... 403","TOBMON ............................... 209"
"STMNDLREC ........................ 165","SUTOUTMTHPY .................. 404","TOBVAPONL2 ...................... 210"
"STMNDLYR ........................... 165","SUTOUTNDOC ..................... 403","TOBVNICFLAG .................... 210"
"STMNM30AL ......................... 164","SUTOUTODG ........................ 393","TOBVNICMON...................... 210"
"STMNM30D ........................... 163","SUTOUTOPIPY ..................... 404","TOBVNICYR ......................... 210"
"STMNM30ES ......................... 164","SUTOUTPNR......................... 392","TOBYR ................................... 209"
"STMNM30FQ ......................... 163","SUTOUTPNRPY.................... 404","TQSDANYFLG ...................... 216"
"STMNMAGE .......................... 162","SUTOUTPPY ......................... 403","TQSDANYYR ........................ 216"
"STMNMFLAG........................ 218","SUTOUTPSYPY .................... 404","TQSDNMFLAG ..................... 218"
"STMNMINIT .......................... 162","SUTOUTSED ......................... 393","TQSDNMMON ...................... 219"
"STMNMLAS1 ........................ 166","SUTOUTSEDPY .................... 404","TQSDNMYR .......................... 218"
"STMNMLIF ............................ 162","SUTOUTSTM ........................ 392","TRBZOANYYR ..................... 154"
"STMNMMFU ......................... 163","SUTOUTSTMPY ................... 404","TRBZONMYR ....................... 160"
"STMNMMON ......................... 218","SUTOUTTQSDPY ................. 404","TRIMEST ............................... 542"
"STMNMREC .......................... 162","SUTOUTTRQ ........................ 393","TRQANYFLAG...................... 215"
"STMNMYFU .......................... 163","SUTOUTTRQPY ................... 404","TRQANYLIF .......................... 154"
"STMNMYR ............................ 218","SUTOUTUNSPPY ................. 405","TRQANYREC ........................ 154"
"STMNORXFG ........................ 169","SUTPEERADB ...................... 394","TRQANYYR .......................... 215"
"STMRSALRT ......................... 167","SUTPHVIADB ....................... 394","TRQMAINRSN ...................... 250"
"STMRSCONC ........................ 166","SUTPHVIALC ....................... 405","TRQNDAYPM ....................... 243"
"STMRSDGFX ......................... 167","SUTPHVIDRG ....................... 405","TRQNM30AL ......................... 157"
"STMRSEXPT.......................... 167","SUTRTALCPY ...................... 406","TRQNM30D ........................... 156"
"STMRSHIGH.......................... 167","SUTRTDRALPY.................... 406","TRQNM30ES ......................... 156"
"STMRSHOOK ........................ 168","SUTRTDRGPY ...................... 405","TRQNM30FQ ......................... 156"
"STMRSMAIN ......................... 169","SUTRTOTHPY ...................... 406","TRQNMAGE .......................... 155"
"STMRSOTRS2 ....................... 168","SUTRTPY .............................. 405","TRQNMFLAG ........................ 217"
"STMRSSOR ............................ 168","SUTRTUNSPPY .................... 406","TRQNMINIT .......................... 155"
"STMRSSTDY ......................... 167","SUTSKTHPY ......................... 406","TRQNMLAS1 ......................... 158"
"STMRSWGHT........................ 166","SUTSUPPADB ....................... 390","TRQNMLIF ............................ 155"
"STMWYGAMT ...................... 164","SUTUNCARE ........................ 398","TRQNMMFU ......................... 156"
"STMWYLNGR ....................... 165","SUTUNCONSQ ..................... 396","TRQNMMON ......................... 218"
"STMWYNORX ...................... 164","SUTUNCOST......................... 394","TRQNMREC .......................... 155"
"STMWYOFTN ....................... 164","SUTUNENFCV ...................... 395","TRQNMYFU .......................... 156"
"STMWYOTWY ...................... 165","SUTUNFFLKE ....................... 397","TRQNMYR............................. 217"
"Codebook Creation Date: 10/19/2023 ................................................. 568","",""
